row-number,field,issue-type,value
173,LastUpdatedDate,default,2018-05-22
174,PlanningHistory,uri,11/00646/FUL
174,LastUpdatedDate,default,2018-05-22
175,PlanningHistory,uri,10/00660/DWO
175,LastUpdatedDate,default,2018-05-22
176,PlanningHistory,uri,11/00182/FUL
176,LastUpdatedDate,default,2018-05-22
177,PlanningHistory,uri,11/00738/EXT
177,LastUpdatedDate,default,2018-05-22
178,PlanningHistory,uri,10/01398/FUL
178,LastUpdatedDate,default,2018-05-22
179,PlanningHistory,uri,09/01004/DWO
179,LastUpdatedDate,default,2018-05-22
180,PlanningHistory,uri,09/00998/FUL
180,LastUpdatedDate,default,2018-05-22
181,PlanningHistory,uri,11/00517/OUT
181,LastUpdatedDate,default,2018-05-22
182,PlanningHistory,uri,11/00705/FUL
182,LastUpdatedDate,default,2018-05-22
183,PlanningHistory,uri,10/01342/FUL
183,LastUpdatedDate,default,2018-05-22
184,PlanningHistory,uri,09/00700/FUL
184,LastUpdatedDate,default,2018-05-22
185,PlanningHistory,uri,09/00327/FUL
185,LastUpdatedDate,default,2018-05-22
186,PlanningHistory,uri,16/01135/OUT
186,LastUpdatedDate,default,2018-05-22
187,PlanningHistory,uri,10/00400/FUL
187,LastUpdatedDate,default,2018-05-22
188,PlanningHistory,uri,10/00320/FUL
188,LastUpdatedDate,default,2018-05-22
189,PlanningHistory,uri,11/00413/FUL
189,LastUpdatedDate,default,2018-05-22
190,PlanningHistory,uri,11/00866/FUL
190,LastUpdatedDate,default,2018-05-22
191,PlanningHistory,uri,11/01017/FUL
191,LastUpdatedDate,default,2018-05-22
192,PlanningHistory,uri,11/01045/FUL
192,LastUpdatedDate,default,2018-05-22
193,PlanningHistory,uri,12/00072/FUL
193,LastUpdatedDate,default,2018-05-22
194,PlanningHistory,uri,16/00036/OUT
194,LastUpdatedDate,default,2018-05-22
195,PlanningHistory,uri,11/00639/OUT
195,LastUpdatedDate,default,2018-05-22
196,PlanningHistory,uri,11/00893/FUL
196,LastUpdatedDate,default,2018-05-22
197,PlanningHistory,uri,10/00211/FUL
197,LastUpdatedDate,default,2018-05-22
198,PlanningHistory,uri,11/00538/FUL
198,LastUpdatedDate,default,2018-05-22
