site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Dudley Social Club, Western Terrace, Dudley",,,2020-04-15,,0.1,6,3,allocated for ?residential development for the purposes of section 59A of the Town and Country Planning Act 1990 (permission in principle),local-authority-eng:NTY,,2020-04-15,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?keyVal=PX02NEBH09D00&activeTab=summary,permissioned,permission in principle,433,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Black Bull Inn, Front Street, Benton",yes,,2020-04-15,,0.6,9,9,,local-authority-eng:NTY,,2013-03-25,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MHG3LHBH09700,permissioned,full planning permission,438,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Earsdon Garage, Bank Top, Earsdon",yes,31/12/2019,2020-04-15,,0.15,8,8,,local-authority-eng:NTY,,2011-04-20,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LELR6XBHDX000,permissioned,full planning permission,440,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Former Clousden Hill Filling Station, Great Lime Road, Forest Hall",yes,,2020-04-15,,0.28,8,8,,local-authority-eng:NTY,,2013-09-02,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MPMGHZBHDX000,permissioned,full planning permission,441,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"West Farm, 44 Front Street, Earsdon",yes,31/12/2019,2020-04-15,,0.25,6,6,,local-authority-eng:NTY,,2016-03-09,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZ0HWMBHMQC00,permissioned,full planning permission,443,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tynemouth Motor Company, Albion Road, North Shields",yes,,2020-04-15,,0.1,6,6,,local-authority-eng:NTY,,2012-05-10,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LWI8J4BH0GZ00,permissioned,outline planning permission,445,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land and buildings at Bedford Street and Clive Street, North Shields",,,2020-04-15,,0.4,16,16,,local-authority-eng:NTY,,1998-11-19,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9801386FUL,permissioned,full planning permission,486,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Backworth Primary School,,,2020-04-15,,0.52,14,14,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,552,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"16 John Street, Cullercoats",yes,,2020-04-15,,0.09,10,10,,local-authority-eng:NTY,,2016-09-26,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O20UVXBHFPF00,permissioned,full planning permission,558,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Westholme Farm Social Club, Mullen Road, Wallsend",yes,,2020-04-15,,0.17,6,6,,local-authority-eng:NTY,,2015-08-19,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,559,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"New Winning Tavern, Church Bank, Wallsend",,15/04/2020,2020-04-15,,0.1,3,3,,local-authority-eng:NTY,,,,permissioned,,560,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
