site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Pond Meadow School, Pond Meadow, Guildford",yes,,2019-11-01,,0.6,10,10,Local Plan allocation ref. A20,local-authority-eng:GRT,owned by a public authority,,,not permissioned,,BLR_025,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Land between Farnham Road and the Mount, Guildford",,,2019-11-01,,0.64,70,70,Local Plan allocation ref. A3,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_026,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Land at Coltsfoot Drive, 1 Bryony Road and garages, Guildford",,,2017-09-27,,0.64,18,18,,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_027,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Land between Gill Avenue and Rosalind Frankin Close, Guildford",,,2019-11-01,,2.36,61,61,Local Plan allocation ref. A16,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_028,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Former Tyrrell site, Long Reach, Ockham",yes,,2018-12-03,,1.98,12,12,Application 17/P/02488 refused on 14 March 2018 - Demolition of existing buildings and erection of 25 x dwellings. Site is PDL in the Green Belt.,local-authority-eng:GRT,not owned by a public authority,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_180231,not permissioned,,BLR_029,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"The Shed Factory, Portsmouth Road, Ripley",,,2019-11-22,,0.4,12,12,"Application 19/P/01126 received on 24 June 2019 - Erection of 7 residential units, retention of commercial sales area in separate building for established garden shed business and associated development together with demolition of existing building and retention of some display sheds/outbuildings.",local-authority-eng:GRT,not owned by a public authority,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_187060,not permissioned,,BLR_030,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Carter and Son Scrap Metal And Breakers Yard, Aldershot Road, Worplesdon, Guildford, GU3 3HF",yes,2020-04-01,2020-11-09,,1.7,45,45,Application ref. 15/P/01987. Development completed 1/4/2020.. Erection of 45 dwellings (including 22 affordable homes) and accommodation for up to 5 people with autism with all associated development following demolition of all existing permanent and T buildings.,local-authority-eng:GRT,not owned by a public authority,2017-10-17,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_165613,permissioned,full planning permission,BLR_031,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Land and buildings at Guildford Railway Station, Guildford ",yes,,2019-11-01,,2.2,438,438,"Local Plan allocation ref. A7. Application 14/P/02168 refused 30/6/16; appeal APP/Y3615/W/16/3161412 allowed (corrected decision issued on 27/2/18).. Mixed use redevelopment comprising 438 dwellings (Class C3); retail/financial and professional services/food and drink and leisure floorspace (Class A1/A2/A3/Sui Generis and D2 uses); station and general office floorspace (Sui Generis and Class B1 uses); station improvements including new station building with booking hall and concourse (Sui Generis); replacement station and office car parking, new residential car parking, cycle parking, a Station Plaza including new public realm with hard and soft landscaping, new access and servicing arrangements, plant and associated works.",local-authority-eng:GRT,not owned by a public authority,2018-02-27,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_157038,permissioned,full planning permission,BLR_032,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Bright Hill Car Park, Sydenham Road, Guildford",,,2019-11-01,,0.47,50,50,Local Plan allocation ref. A12,local-authority-eng:GRT,owned by a public authority,,,not permissioned,,BLR_033,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"North Street redevelopment, Guildford",,,2019-11-01,,3.47,400,400,"Local Plan allocation ref. A6. Mixed ownership as GBC owns freehold, however M&G have a long leasehold over much of the site and there are multiple shorter leases on other parts.",local-authority-eng:GRT,mixed ownership,,,not permissioned,,BLR_034,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Treetops Boarding Kennels and Loxhill Nursery, Old Portsmouth Road, Peasmarsh, Guildford, GU3 1LN",yes,2020-07-16,2020-11-09,,2,39,39,"Application 17/P/00801 proposes 39 dwellings plus demolition of existing buildings (boarding kennels, cattery and operator's dwelling). Appeal APP/Y3615/W/17/3180620 allowed subject to conditions 18 June 2018. Development started 16/7/2020.. Full application for the development of 39 residential dwellings with associated vehicular access, public open space, ancillary works and associated infrastructure plus demolition of existing buildings.",local-authority-eng:GRT,not owned by a public authority,2018-02-20,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_177231,permissioned,full planning permission,BLR_035,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-12-05
"Kernal Court, Walnut Tree Close, Guildford",yes,,2020-11-09,,0.55,113,100,"Local Plan allocation ref. A13. Application ref. 19/P/00267.. Demolition of existing structures and construction of a part-4, part-5, part-7, part-8 storey student accommodation building (Sui Generis) and a basement plus part-4, part-5 storey Co-Living accommodation building (Sui Generis) with associated works including parking, access, landscaping, plant, cycle and refuse enclosure. (Amendment to Planning Permission 18/P/01155 for an increase in Co-Living building from 4 to 5 stories (approximately 550mm in height) and an increase in Co-Living units from 85 to 113).",local-authority-eng:GRT,not owned by a public authority,2019-07-04,https://www2.guildford.gov.uk/publicaccess/applicationDetails.do?keyVal=_GUILD_DCAPR_185476&activeTab=summary,permissioned,full planning permission,BLR_036,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
