site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
18 Hall Arras Avenue SM4 6DF,,,2020-01-10,,0.12,6,6,"CONVERSION OF WYVERN YOUTH CENTRE INTO 6 x RESIDENTIAL UNITS (COMPRISING 2 x 1 BED, 1 x 2 BED AND 3 x 3 BED FLATS) INVOLVING RE-ROOFING, INSTALLATION OF SKYLIGHTS, NEW DOOR AND WINDOW OPENINGS, WITH A",local-authority-eng:MRT,,2018-02-28,,permissioned,full planning permission,17/P4387,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
8 Lake Road SW19 7EL,,,2020-01-10,,0.34,9,9,DEMOLITION OF THE EXISTING THREE BLOCKS OF FLATS AND ANCILLARY GARAGES AND REDEVELOPMENT OF THE SITE BY ERECTION OF A FOUR STOREY BLOCK OF 19 APPARTMENTS WITH BASEMENT LEVEL PARKING AND ERECTION OF 2,local-authority-eng:MRT,,2018-12-10,,permissioned,full planning permission,18/P1052,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
27-35 West Barnes Lane SW20 0BL,,,2020-01-10,,0.05,8,8,REFURBISHMENT AND ENLARGEMENTOF 27-35 WEST BARNES LANE TO PROVIDE ADDITIONAL FLOORSPACE AND ANCILLARY FACILITIES IN CONNECTION WITH THE EXISTING GROUND FLOOR COMMERCIAL USES (USE CLASSES A3 (No 27 & 2,local-authority-eng:MRT,,2018-09-26,,permissioned,full planning permission,18/P1058,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
143 Cottenham Park Road SW20 0DW,,,2020-01-10,,0.05,,,DEMOLITION OF THE EXISTING DWELLINGHOUSE AND THE ERECTION OF A PART TWO/PART THREE STOREY DWELLINGHOUSE (RESUBMISSION OF APP REF 15/P0081 APPROVED 28/4/15),local-authority-eng:MRT,,2018-09-05,,permissioned,full planning permission,18/P1227,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Thornton House Thornton Road SW19 4NQ,,,2020-01-10,,0.2,10,10,PRIOR APPROVAL FOR CHANGE OF USE FROM OFFICE SPACE (CLASS B1a) TO RESIDENTIAL (CLASS C3) (10 FLATS),local-authority-eng:MRT,,2018-04-09,,permissioned,other,18/P1938,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
45-48 Rothesay Avenue SW20 8JU,,,2020-01-10,,0.04,7,7,"DEMOLITION OF EXISTING BUILDINGS AT 45-48 ROTHESAY AVENUE AND THE ERECTION OF 11 SELF CONTAINED FLATS (2 X 2 BEDROOM DUPLEX, 2 X 3 BEDROOM DUPLEX, 5 X 1 BEDROOM AND 2 X STUDIO) WITHIN A FOUR STOREY",local-authority-eng:MRT,,2018-06-11,,permissioned,full planning permission,18/P2211,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
162 & 164 Hartfield Road SW19 3TQ,,,2020-01-10,,0.07,6,6,DEMOLITION OF SEMI DETACHED PROPERTIES AND THE ERECTION OF A 8 X SELF CONTAINED FLATS WHICH INCLUDE A SINGLE STOREY BASEMENT,local-authority-eng:MRT,,2018-08-28,,permissioned,full planning permission,18/P2224,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
2a Barham Road SW20 0EU,,,2020-01-10,,0.01,,,"CHANGE OF USE FROM MIXED USE D1 AND C3 TO A SINGLE DWELLINGHOUSE (C3 USE), INCLUDING THE ERECTION OF SINGLE STOREY SIDE AND REAR EXTENSIONS, CONVERSION OF GARAGE INTO HABITABLE ROOM, ERECTION OF A NEW",local-authority-eng:MRT,,2018-10-09,,permissioned,full planning permission,18/P2447,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
290-298 Kingston Road SW20 8LX,,,2020-01-10,,0.05,9,9,PRIOR APPROVAL FOR CHANGE OF USE FROM OFFICE USE (CLASS B1) TO A DWELLINGHOUSE (CLASS C3),local-authority-eng:MRT,,2018-08-23,,permissioned,other,18/P2570,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
24 Hood Road SW20 0SR,,,2020-01-10,,0.08,,,DEMOLITION OF EXISTING HOUSE AND THE ERECTION OF A NEW DWELLINGHOUSE,local-authority-eng:MRT,,2018-09-17,,permissioned,full planning permission,18/P2911,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
