site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"2 - 4 High Street, Kidlington",yes,,2019-10-30,,0.11,16,16,,local-authority-eng:CHR,not owned by a public authority,2018-07-12,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR52,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Kings Two Wheel Centre 139 Oxford Road, Kidlington",yes,,2019-10-30,,0.11,10,10,,local-authority-eng:CHR,not owned by a public authority,2019-03-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR53,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"162 The Moors, Kidlington",yes,,2019-10-30,,0.07,5,5,,local-authority-eng:CHR,not owned by a public authority,2018-05-25,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR54,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Winterlake Springwell Hill, Bletchingdon",yes,,2019-10-30,,0.58,0,0,,local-authority-eng:CHR,not owned by a public authority,2018-12-03,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR55,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"High Haven Farm, Hawthorn Hill, South Newington",yes,,2019-10-30,,0.95,0,0,,local-authority-eng:CHR,not owned by a public authority,2019-02-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR56,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Former Garage Block to the rear of 63 To 65 Spencer Avenue, Yarnton",yes,,2019-10-30,,0.21,5,5,,local-authority-eng:CHR,not owned by a public authority,2018-12-20,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR57,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"198 & 200 Woodstock Road, Yarnton",yes,,2019-10-30,,0.31,0,0,,local-authority-eng:CHR,not owned by a public authority,2019-01-17,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR58,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
Site Name Address,yes,,2020-03-10,,,,,Notes,local-authority-eng:CHR,Ownership Status,,,Planning Status,Permission Type,Site Reference,,
"The Tally Ho Inn, 45 Ploughley Road, Arncott",yes,,2019-10-30,,0.4,0,0,The permission has been superseded by 19/00933/F which is change of use from hotel (C1) to residential training institute (C2).,local-authority-eng:CHR,not owned by a public authority,2017-08-14,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR1,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"15 - 16 South Bar Street, Banbury",yes,,2019-10-30,,0.02,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2018-02-13,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR3,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"60 - 62 Broad Street, Banbury",yes,,2019-10-30,,0.06,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-04-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR6,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"The Unicorn, Market Place, Banbury",yes,,2019-10-30,,0.04,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-01-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR18,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Garage Block Rear Of 52 To 58 Bucknell Road, Bicester",yes,,2019-10-30,,0.1,0,0,Permission superseded by 18/00102/F which was completed in September 2018 (2018/19).,local-authority-eng:CHR,not owned by a public authority,2016-09-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR21,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"The George And Dragon, 15 East Street, Fritwell",,,2019-10-30,,0.15,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-11-15,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR25,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"65 Oxford Road, Kidlington",yes,,2019-10-30,,0.1,0,0,The site was completed in March 2018 (2017/18).,local-authority-eng:CHR,not owned by a public authority,2017-02-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR27,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Tyre Depot, South of Cassington Road, Yarnton",yes,,2019-10-30,,0.9,0,0,The application was withdrawn. Commercial uses implemented.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR32,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Gosford Hill Court, Bicester Road, Kidlington",yes,,2019-10-30,,0.26,0,0,The site was completed in June 2018 (2018/19).,local-authority-eng:CHR,not owned by a public authority,2017-12-28,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR33,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"Akeman Spinney, Heyford Road, Kirtlington",yes,,2019-10-30,,0.56,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-12-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR34,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"Garage Blocks Rear Of Mold Crescent Penrose Drive, Banbury",yes,,2019-10-30,,0.17,0,0,The site was completed in March 2019 (2018/19).,local-authority-eng:CHR,not owned by a public authority,2017-05-30,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR36,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"Garage Block Opposite 5 Penrhyn Close, Banbury",yes,,2019-10-30,,0.09,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-12-01,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR37,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"Garage Block 1 Rear Of 214 To 226 Bretch Hill, Banbury",yes,,2019-10-30,,0.17,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2018-02-14,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR38,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"78 Bicester Road, Kidlington",yes,,2019-10-30,,0.09,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-07-05,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR41,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
