site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
21 - 25 Aire Street,yes,,2018-03-31,,0.03,8,8,16/03400/PLF,local-authority-eng:ERY,not owned by a public authority,2016-12-16,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03400/PLF,permissioned,full planning permission,208,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03400/PLF,2017-12-04
Land North of Livingstone Road,yes,,2018-03-31,,1.54,81,81,15/00017/STREM,local-authority-eng:ERY,not owned by a public authority,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00017/STREM,pending decision,,209,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00017/STREM,2017-12-04
"Cross Keys, 2 Hull Road",yes,,2018-03-31,,0.13,14,14,15/00516/PLF,local-authority-eng:ERY,not owned by a public authority,2016-07-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00516/PLF,permissioned,full planning permission,212,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00516/PLF,2017-12-04
"The Pack Horse Inn, 93 Main Street",yes,,2018-03-31,,0.13,5,5,18/00718/PLF,local-authority-eng:ERY,not owned by a public authority,2018-06-29,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/18/00718/PLF,permissioned,full planning permission,214,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/18/00718/PLF,2017-12-04
Land West of Kilpin Grange,yes,,2018-03-31,,0.26,5,5,15/03418/PLF,local-authority-eng:ERY,not owned by a public authority,2017-01-30,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03418/PLF,permissioned,full planning permission,215,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03418/PLF,2017-12-04
40 High Street,yes,,2018-03-31,,0.04,5,5,15/00039/PLF,local-authority-eng:ERY,not owned by a public authority,2016-04-10,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00039/PLF,permissioned,full planning permission,216,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00039/PLF,2017-12-04
"Feathers Hotel, 56 Market Place",yes,,2018-03-31,,0.51,9,9,15/00106/PLF,local-authority-eng:ERY,not owned by a public authority,2015-07-10,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00106/PLF,permissioned,full planning permission,218,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00106/PLF,2017-12-04
"Co-operative, 13 George Street",yes,,2018-03-31,,0.49,34,34,16/02134/PLF,local-authority-eng:ERY,not owned by a public authority,2017-02-21,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02134/PLF,permissioned,full planning permission,219,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02134/PLF,2017-12-04
Land To The West And South Of 18 Riverside,yes,,2018-03-31,,0.25,10,10,16/02460/OUT,local-authority-eng:ERY,not owned by a public authority,2017-01-07,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02460/OUT,permissioned,outline planning permission,220,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02460/OUT,2017-12-04
George Street Allotments And Adult Education Centre,yes,,2018-03-31,,0.35,9,9,16/02669/PLF,local-authority-eng:ERY,not owned by a public authority,2017-03-14,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02669/PLF,permissioned,full planning permission,221,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02669/PLF,2017-12-04
