site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Golden Palms, Cary Parade, Torquay",,,2017-12-20,,0.18,12,6,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH44,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"The Terrace Car Park, Torquay",,,2017-12-20,,1.11,35,18,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,TNPH45,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Ingoldsby House, Chelston Road, Torquay",,,2017-12-20,,0.15,7,4,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH47,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"La Rosaire, Livermead Hill, Torquay",yes,11/12/2019,2017-12-20,,0.11,7,7,P/2014/1182,local-authority-eng:TOB,not owned by a public authority,2015-10-01,,permissioned,full planning permission,TNPH49,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"53 Fleet Street, Torquay",yes,11/12/2019,2017-12-20,,0.03,9,9,P/2015/0587,local-authority-eng:TOB,not owned by a public authority,2015-12-18,,permissioned,full planning permission,C1222,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Torre House, Falkland Road, Torquay",yes,,2017-12-20,,0.08,8,8,P/2016/1356,local-authority-eng:TOB,not owned by a public authority,2017-02-15,,permissioned,full planning permission,C1261,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"42-45 Fleet Street, Torquay",yes,,2017-12-20,,0.03,9,9,P/2016/1211,local-authority-eng:TOB,not owned by a public authority,2017-02-03,,permissioned,full planning permission,C1265,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Former Social Club, 11 Tor Church Road, Torquay",yes,11/12/2019,2017-12-20,,0.23,9,9,P/2016/0348,local-authority-eng:TOB,not owned by a public authority,2017-01-04,,permissioned,full planning permission,C453,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"59 Rock Road, Torquay",yes,,2017-12-20,,0.07,10,10,P/2014/0634 expired,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,R792,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"R/O 16-26 Castor Road, Brixham",yes,,2017-12-20,,0.27,10,10,P/2016/0947 allowed at appeal,local-authority-eng:TOB,not owned by a public authority,2017-08-03,,permissioned,full planning permission,1074/H3-I9,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"R/O 107 Teignmouth Road, Torquay",yes,11/12/2019,2017-12-20,,0.16,12,12,P/2016/0599,local-authority-eng:TOB,not owned by a public authority,2017-05-31,,permissioned,full planning permission,1061,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Braddons Street Disused Playground, Torquay",,11/12/2019,2018-12-18,,0.13,9,4,P/2017/1224,local-authority-eng:TOB,owned by a public authority,2018-10-15,,permissioned,full planning permission,TNPH26,http://torbay.addresscafe.com/app/exploreit/default.aspx,2018-12-18
"Chilcote Close car park, St Marychurch",,,2018-12-18,,0.13,10,10,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,NP5,http://torbay.addresscafe.com/app/exploreit/default.aspx,2018-12-18
"Bancourt Hotel, Avenue Road, Torquay",,,2018-12-18,,0.26,12,12,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,NP4,http://torbay.addresscafe.com/app/exploreit/default.aspx,2018-12-18
"Walton Lodge, Middle Warberry Road, Torquay",,,2018-12-18,,0.49,11,5,P/2011/0015 permission implemented,local-authority-eng:TOB,not owned by a public authority,2011-04-01,,permissioned,full planning permission,224,http://torbay.addresscafe.com/app/exploreit/default.aspx,2018-12-18
"331 Teignmouth Road, Torquay",,,2018-12-18,,0.29,22,11,P/2005/0740 permission implemented,local-authority-eng:TOB,not owned by a public authority,2005-07-28,,permissioned,full planning permission,R687,http://torbay.addresscafe.com/app/exploreit/default.aspx,2018-12-18
"Rutland Hotel, Daddyhole Road, Torquay",,11/12/2019,2018-12-18,,0.2,8,8,P/2017/0751,local-authority-eng:TOB,not owned by a public authority,2018-02-14,,permissioned,full planning permission,C1296,http://torbay.addresscafe.com/app/exploreit/default.aspx,2018-12-18
"R/O 286-288 Totnes Road, Paignton",,,2018-12-18,,0.12,7,5,P/2015/0679 P/2018/1106,local-authority-eng:TOB,not owned by a public authority,2019-03-05,,permissioned,full planning permission,R823,http://torbay.addresscafe.com/app/exploreit/default.aspx,2018-12-18
