point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1849,"Land To The Rear Of 64 Rochdale Road, Middleton",,,,0.04,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1854,"Land At Regent Street/ Jermyn Street, Rochdale",,,,0.27,,,Not Permissioned,,,,13,13,13,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1882,"Land At Milnrow Road, Rochdale",,,,0.43,,,Not Permissioned,,,,17,17,17,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1917,"101 - 103 Long Street And 1,3,& 5 Durnford Street, Middleton",,,,0.06,,,Not Permissioned,,,,5,5,5,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1935,"Rakewood Mill, Rakewood Road, Littleborough",,,,0.79,,,permissioned,,,,27,27,27,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1955,"Former Star Works, Wham Street, Heywood",,,,0.05,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1962,"Booth Hollings Mill, Rakewood Road, Littleborough",,,,0.45,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1998,"Former The Nile, 1 Drake Street, Rochdale",,,,0.09,,,Not Permissioned,,,,19,19,19,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2011,"Brunswick Hotel, 19 Bridge Street, Heywood",,,,0.03,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2036,"3 Whitehall Street And 20 Eastgate Street, Rochdale",,,,0.01,,,permissioned,,,,5,5,5,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2056,"Land At Junction Calderbrook Road And Hare Hill Road, Littleborough",,,,0.06,,,permissioned,,,,8,8,8,,,2017-11-28,2017-11-28,
