point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0082,Land bounded by Netherton Close/ Cranemore Avenue/ Keswick Road,-1.783934,51.559327,https://pa1.swindon.gov.uk/publicaccess/,0.17,mixed ownership,,not permissioned,,,https://pa1.swindon.gov.uk/publicaccess/,,6,6,,s0082 - s0082 | No Recent Planning History,2017-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0090,"Coal Yard, Signal Way",-1.787405,51.559517,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P9WLL8PT04V00,0.03,owned by a public authority,,permissioned,full planning permission,2018-08-24,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P9WLL8PT04V00,,1,1,yes,s0090 - S/18/0971 | Erection of 1no. dwelling,2017-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0093,"Former youth Centre, Sparcells",-1.727309,51.585659,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5N5YBPTM3A00,0.21,not owned by a public authority,,permissioned,full planning permission,2018-11-15,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5N5YBPTM3A00,,6,6,yes,s0093 - S/18/0460 | Erection of 6no residential dwellings,2018-12-31,2020-12-23,2020-12-23
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0099,North Star (Former Clares Site and Oasis Leisure Centre),-1.790611,51.523084,https://pa1.swindon.gov.uk/publicaccess/,13.05,not owned by a public authority,,permissioned,full planning permission,,https://pa1.swindon.gov.uk/publicaccess/,,,,yes,"s0099 - s0099 | Outline application for the erection of a leisure development of up to 160, 000 sq.m. To include the provision of an entertainment arena, indoor ski centre, cinema, hotel, retail, restaurants and cafes, access, parking and associated works. Application is ongoing. Ref. : S/OUT/15/0943",2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0100,Aspen House and Granville Street Car Park,-1.79276,51.525949,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=Q69LYKPTFR800,1.27,not owned by a public authority,,permissioned,full planning permission,2020-06-03,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=Q69LYKPTFR800,,0,0,yes,s0100 - S/20/0284 | Erection of a hotel (Use Class C1) with ancillary restaurant.Ref. : S/OUT/17/0665,2017-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0101,Tented Market,-1.787231,51.562094,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NYTT2FPTFMJ00,0.14,not owned by a public authority,,permissioned,full planning permission,2016-11-09,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NYTT2FPTFMJ00,,0,0,,"s0101 - S/15/2017 | Demolition of existing and erection of a two story buildings with retail (A1) and food & drink (A3) units. Permission granted on appeal.Ref. : S/15/2017Decision Issued Date: 16/06/2016Demolition of existing tented market and erection of a 12 storey building comprising 101no. Flats, 4no. Class A3 (Food and Drink) units, 1no. Class A1 (Shop) unit. Application granted permission subject to S106 and conditions at October 2017 Planning CommitteeRef. : S/17/0673Decision Issued Date: Pending.",2017-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0111,Thornhill Industrial Estate,-1.785588,51.562884,https://pa1.swindon.gov.uk/publicaccess/,5.09,not owned by a public authority,,not permissioned,,,https://pa1.swindon.gov.uk/publicaccess/,,0,0,yes,s0111 - S/OUT/14/2059 | Application withdrawn 15/05/2018,2017-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0113,Site of disused retail units on Devizes Road,-1.782885,51.562069,https://pa1.swindon.gov.uk/publicaccess/,0.08,not owned by a public authority,,not permissioned,,,https://pa1.swindon.gov.uk/publicaccess/,,5,5,yes,s0113 - s0113 | No Recent Planning History,2017-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0115,Sites of garages on Perrys Lane,-1.782989,51.561682,https://pa1.swindon.gov.uk/publicaccess/,0.11,not owned by a public authority,,not permissioned,,,https://pa1.swindon.gov.uk/publicaccess/,,5,5,yes,s0115 - S/99/2654 | Erection of 3no. four-bedroom houses with double garages (Outline). Application refused 04/04/2000,2017-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0120,Second Floor Fleetway House 55 - 58 Fleet Street Swindon,-1.787929,51.564088,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OKA11NPTKV900,0.18,not owned by a public authority,,permissioned,full planning permission,2017-06-28,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OKA11NPTKV900,,12,12,yes,s0120 - S/17/0144 | Change of use of second floor to Residential (Class C3) to provide 12 no. flats with external alterations.Ref. : S/17/0144Decision Issued Date: 28/06/2017,2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0122,"39-45 Fleet Street, Swindon",-1.786559,51.56595,https://pa1.swindon.gov.uk/publicaccess/,0.08,not owned by a public authority,,not permissioned,,,https://pa1.swindon.gov.uk/publicaccess/,,16,16,,s0122 - s0122 | No Recent Planning History,2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0125,"Falcon House, Fleming Way Car Park, Debenhams and 17 The Parade",-1.78102,51.560219,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PA7RKPPT0FL00,0.85,not owned by a public authority,,permissioned,other,2018-07-26,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PA7RKPPT0FL00,,90,90,yes,s0125 - S/PRIORC/18/1013 | Prior notification application for the change of use from office (Class B1a) to 90no. apartments (Class C3).,2018-12-31,2020-12-23,
