point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/woking,,BLR2020007,New Central Extension (Coal Yard/Aggregates Yard) adjacent to the Railway Line,-0.562,51.316,http://www.woking2027.info/ldfregisters,1.72,mixed ownership,,not permissioned,,,,,100,400,yes,Minimum yield from draft Site Allocations DPD. Maximum yield from HIF bid.,2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020008,"Police Station and Coroners Court, Station Approach, GU22 7YL",-0.558,51.316,http://www.woking2027.info/ldfregisters,1.1,owned by a public authority,,not permissioned,,,,,600,600,,Maximum yield from HIF bid,2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020009,"Poole Road, GU21 6EE",-0.564,51.317,http://www.woking2027.info/ldfregisters,0.2,owned by a public authority,,permissioned,,,,,120,120,,Maximum yield from HIF bid. Planning permission granted for energy centre,2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020010,"The Eastern and Oriental, 53 Westfield Road, Westfield, GU22 9NQ",-0.561,51.299,http://www.woking2027.info/ldfregisters,0.1,not owned by a public authority,,permissioned,full planning permission,2020-03-19,,,6,6,yes,Yield from PLAN/2019/0968,2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020011,"5 to 51 Middle Walk, Woking, GU21 6XT",-0.559,51.319,http://www.woking2027.info/ldfregisters,0.16,owned by a public authority,,permissioned,full planning permission,2020-01-08,,,7,7,yes,Yield from PLAN/2019/0752,2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020012,"Cap Gemini House, Forge End, Woking, Surrey, GU21 6DB",-0.563,51.319,http://www.woking2027.info/ldfregisters,1.24,not owned by a public authority,,permissioned,full planning permission,2018-10-22,,,112,112,yes,Yield from PLAN/2018/0961,2020-12-11,2020-12-11,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020013,"Unit 8 to 10, Centrium, Station Approach, Woking, Surrey, GU22 7PA",-0.559,51.317,http://www.woking2027.info/ldfregisters,0.03,not owned by a public authority,,permissioned,full planning permission,2019-11-07,,,5,5,yes,Yield from PLAN/2019/0168,2020-12-11,2020-12-11,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020014,"Fides House, 10 Chertsey Road, Woking, Surrey",-0.557,51.319,http://www.woking2027.info/ldfregisters,0.02,not owned by a public authority,,permissioned,full planning permission,2019-05-21,,,6,6,yes,Yield from PLAN/2019/0270,2020-12-11,2020-12-11,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020015,"Hallmark House, 10-12 St Johns Road, St Johns, Woking, Surrey, GU21 7SE",-0.595,51.312,http://www.woking2027.info/ldfregisters,0.01,not owned by a public authority,,permissioned,full planning permission,2019-10-25,,,7,7,yes,Yield from PLAN/2019/0856,2020-12-11,2020-12-11,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020016,"21-25 Church Street West, Woking, GU21 6DJ",-0.563,51.318,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,,permissioned,full planning permission,2018-04-03,,,19,19,yes,Yield from PLAN/2018/0176,2020-12-11,2020-12-11,
