point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"116 Cheriton Road, Folkestone, Kent, CT19 5HQ",,,,,Not owned by a public authority,,,,,,9,9,9,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Squirrels, Cannongate Road, Hythe, Kent, CT21 5PT",,,,,Not owned by a public authority,,,,,,8,8,8,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Shakespeare Centre, 145-147 Sandgate Road, Folkestone, Kent, CT20 2DA",,,,,Not owned by a public authority,,,,,,6,6,6,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"The Paddocks, 13 Prospect Road, Hythe, Kent, CT21 5NN (Land Adjoining The Paddocks Car Park, Prospect Road, Hythe, Kent)",,,,,Not owned by a public authority,,,,,,10,10,10,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"124 Sandgate High Street, Sandgate, Folkestone, Kent, CT20 3BZ",,,,,Not owned by a public authority,,,,,,5,5,5,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"58 - 60 & 62 Shorncliffe Road, Folkestone, Kent, CT20 2NQ",,,,,Not owned by a public authority,,,,,,42,42,42,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"12 Jointon Road, Folkestone, Kent, CT20 2RG",,,,,Not owned by a public authority,,,,,,8,8,8,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"5 Trinity Crescent, Folkestone, Kent, CT20 2ES",,,,,Not owned by a public authority,,,,,,5,5,5,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"East Station Goods Yard, Southern Way, Folkestone, Kent",,,,,Not owned by a public authority,,,,,,41,41,41,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Harbour Community Church, Harvey Street, Folkestone, Kent, CT20 1LH",,,,,Not owned by a public authority,,,,,,5,5,5,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Coach Depot , King Street , Brenzett, Kent, TN29 9UD",,,,,Not owned by a public authority,,,,,,11,11,11,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Former Rotunda Amusement Park, Marine Parade, Folkestone, Kent",,,,,Not owned by a public authority,,,,,,1000,1000,1000,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Shepway Resource Centre, Military Road, Folkestone, Kent, CT20 3SP",,,,,Not owned by a public authority,,,,,,41,41,41,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Stoneleigh House, Tram Road, Folkestone, Kent, CT20 1QS",,,,,Not owned by a public authority,,,,,,14,14,14,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Former Officers Mess, Aerodrome Road, Hawkinge",,,,,Not owned by a public authority,,,,,,70,70,70,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"11 Tontine Street, Folkestone, Kent, CT20 1JT",,,,,Not owned by a public authority,,,,,,8,8,8,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Land Adjoining Sir John Moore Barracks, Military Road, Sandgate, Kent",,,,,Not owned by a public authority,,,,,,6,6,6,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"The Royal Victoria Hospital, Radnor Park Avenue",,,,,,,,,,,42,42,42,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"3-5 Shorncliffe Road, Folekstone",,,,,,,,,,,20,20,20,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Former Gas Works, Ship Street, Folkestone",,,,,,,,,,,100,100,100,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Highview School, Moat Farm Road",,,,,,,,,,,27,27,27,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Brockman Family Centre, Cheriton",,,,,,,,,,,26,26,26,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"The Cherry Pickers Public House, Cheriton",,,,,,,,,,,10,10,10,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Affinity Water, Shearway Road, Cheriton",,,,,,,,,,,70,70,70,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Encombe House, Sandgate",,,,,,,,,,,36,36,36,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Smiths Medical Campus, Hythe",,,,,,,,,,,80,80,80,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"St Saviour's Hosptial, Seabrook Road, Hythe",,,,,,,,,,,50,50,50,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Foxwood School, Seabrook Road, Hythe",,,,,,,,,,,150,150,150,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Hythe Swimming Pool, Hythe",,,,,,,,,,,50,50,50,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Land rear of the Old School House, Church Lane, New Romney",,,,,,,,,,,20,20,20,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Station Yard, Station Road, Lydd",,,,,,,,,,,30,30,30,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Former Sands Motel, land adjoining pumping station, Dymchurch Road, St Mary's Bay",,,,,,,,,,,85,85,85,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Land rear of Varne Boat Club, Coast Drive, Greatstone",,,,,,,,,,,5,5,5,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Car park, Coast Drive, Greatstone",,,,,,,,,,,16,16,16,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"The Old Slaughterhouse, Rosemary Corner, Brookland",,,,,,,,,,,5,5,5,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Land adjacent Kent Battle of Britain Museum, Aerodrome Road, Hawkinge",,,,,,,,,,,100,100,100,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,General Sellindge policy (Silver Spray site),,,,,,,,,,,5,5,5,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Etchinghill Nursery, Etchinghill",,,,,,,,,,,30,30,30,,,,2018-05-22,
