point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR38,"Parsonage Close Garages, Abbots Langley",-0.418526,51.709955,http://www.planvu.co.uk/trdc/,0.09,owned by a public authority,,not permissioned,,,,5,5,7,,Site included in SHELAA (AB18),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR39,"Tibbs Hill Road Garages, Abbots Langley",-0.412737,51.707871,http://www.planvu.co.uk/trdc/,0.1,owned by a public authority,,not permissioned,,,,5,5,8,,Site included in SHELAA (AB26),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR40,"Jacketts Field Garages, Abbots Langley",-0.410893,51.704744,http://www.planvu.co.uk/trdc/,0.08,owned by a public authority,,not permissioned,,,,5,5,6,,Site included in SHELAA (AB31),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR41,"Yard Tibbs Hill Road, Abbots Langley",-0.410645,51.703986,http://www.planvu.co.uk/trdc/,0.16,not owned by a public authority,,not permissioned,,,,6,6,13,,Site included in SHELAA (AB32),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR42,"Rosehill Gardens Garages, Abbots Langley",-0.327222,54.460579,http://www.planvu.co.uk/trdc/,0.08,owned by a public authority,,not permissioned,,,,5,5,6,yes,Site included in SHELAA (AB39),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR43,"Garages, Blackford Road, South Oxhey",-0.389515,51.617114,http://www.planvu.co.uk/trdc/,0.1,owned by a public authority,,not permissioned,,,,5,5,8,,Site included in SHELAA (AS13),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR44,"Garages, Woodhall Lane, South Oxhey",-0.385322,51.625392,http://www.planvu.co.uk/trdc/,0.09,owned by a public authority,,not permissioned,,,,5,5,7,,Site included in SHELAA (AS31),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR45,"Garages rear of Owens Way, Croxley Green",-0.450789,51.651892,http://www.planvu.co.uk/trdc/,0.09,owned by a public authority,,not permissioned,,,,5,5,7,,Site included in SHELAA (CG16),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR46,"Garages, Grove Crescent, Croxley Green",-0.449739,51.655124,http://www.planvu.co.uk/trdc/,0.26,owned by a public authority,,not permissioned,,,,13,13,25,,Site included in SHELAA (CG47),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR47,"British Red Cross, Community Way, Croxley Green",-0.446496,51.648499,http://www.planvu.co.uk/trdc/,0.06,owned by a public authority,,not permissioned,,,,5,5,6,,Site included in SHELAA (CG65),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR48,"Garages at Copmans Wick, Chorleywood",-0.517907,51.649638,http://www.planvu.co.uk/trdc/,0.1,owned by a public authority,,not permissioned,,,,5,5,7,,Site included in SHELAA (CW9),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR49,"Garages, Ryman Court, Chorleywood",-0.522931,51.645799,http://www.planvu.co.uk/trdc/,0.1,owned by a public authority,,not permissioned,,,,5,5,8,,Site included in SHELAA (CW25),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR50,"Garages, rear of 40-42 Longcroft Road, Maple Cross",-0.514874,51.622111,http://www.planvu.co.uk/trdc/,0.06,owned by a public authority,,not permissioned,,,,5,5,5,,Site included in SHELAA (MC11),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR51,"Garages, rear of The Dick Whittington, Prestwick Road, South Oxhey",-0.388063,51.620996,http://www.planvu.co.uk/trdc/,0.09,owned by a public authority,,not permissioned,,,,5,5,7,,Site included in SHELAA (NW34a),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR52,"Garages, Quickwood Close, Mill End",-0.497805,51.644671,http://www.planvu.co.uk/trdc/,0.14,owned by a public authority,,not permissioned,,,,6,6,7,,Site included in SHELAA (P4),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR53,"Garages, Oakfield, Mill End",-0.497103,51.643628,http://www.planvu.co.uk/trdc/,0.1,owned by a public authority,,not permissioned,,,,5,5,7,,Site included in SHELAA (P7),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR54,"Garages, Chiltern Drive, Mill End",-0.495234,51.643334,http://www.planvu.co.uk/trdc/,0.07,owned by a public authority,,not permissioned,,,,5,5,6,,Site included in SHELAA (P33),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR55,"Garages, Whitfield Way, Mill End",-0.502871,51.637002,http://www.planvu.co.uk/trdc/,0.09,owned by a public authority,,not permissioned,,,,5,5,7,,Site included in SHELAA (P38),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR56,"Adams Nurseries, Church Lane, Sarratt",-0.49273,51.679602,http://www.planvu.co.uk/trdc/,0.27,not owned by a public authority,,not permissioned,,,,5,5,8,yes,Site put forward to Call for Sites (CFS47c),2018-12-10,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR57A,"Land to the west of Sarratt Road, Sarratt",-0.490166,51.681026,http://www.planvu.co.uk/trdc/,0.27,not owned by a public authority,,not permissioned,,,,5,5,8,yes,Site put forward to Call for Sites (CFS49),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR57B,"Land to the west of Sarratt Road, Sarratt",-0.490909,51.680433,http://www.planvu.co.uk/trdc/,0.08,not owned by a public authority,,not permissioned,,,,2,2,2,yes,Site put forward to Call for Sites (CFS49). Site would only support 5 or more dwellings if delivered with adjacent site BR58A.,2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR58,"Garages Rear of Drillyard, West Way, Rickmansworth",-0.486908,51.638587,http://www.planvu.co.uk/trdc/,0.22,not owned by a public authority,,not permissioned,,,https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=P8I3ICQFJXK00|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P92P6BQF0CU00,5,5,8,yes,Allocated housing site (H15). Demolition of existing garages and construction of residential units,2020-12-01,2020-12-01,
