point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0140,Signal Point,-1.785977,51.565051,,0.426623,,,Not permissioned,,2015-07-13,,86,86,86,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0142,"Locarno, Dammas Lane Car Park and The Planks Car Park",-1.772942,51.551092,,0.458772,,,Not permissioned,,,,15,15,15,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0146,The Parade Multistorey Car Park,-1.784969,51.562757,,0.176913,,,Not permissioned,,,,36,36,36,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0147,Former Wyvern Multistorey Car Park,-1.781744,51.560406,,0.192614,,,Not permissioned,,,,38,38,38,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0148,Wyvern Theatre and Car Park,-1.78147,51.559569,,0.325294,,,Not permissioned,other,2018-06-14,,46,46,46,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0150,The Carriage Works,-1.790782,51.562985,,1.51779,,,Not permissioned,full planning permission,,,,,,yes,Suitable for non residential development,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0156,Swindon Advertiser Offices,-1.77708,51.553079,,0.145932,,,permissioned,full planning permission,2018-05-24,,31,31,31,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0157,"Land South of Church Road, Old Town",-1.776215,51.553607,,0.069777,,,pending decision,,,,14,14,14,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0158,"Pope Bros Builders Yard, Cricklade Street",-1.775528,51.553553,,0.115949,,,pending decision,,,,12,12,12,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0168,20 Fleet Street,-1.786688,51.562849,,0.049493,,,Not permissioned,,,,10,10,10,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0170,32-34 Bridge Street,-1.78608,51.562096,,0.032253,,,Not permissioned,full planning permission,2017-04-26,,6,6,6,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0171,Theatre Square,-1.780953,51.559364,,0.406895,,,Not permissioned,,,,21,21,21,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0183,"Land to the east of Newburgh Place, in front of Tesco Express",-1.714859,51.63348,,0.967923,,,Not permissioned,,,,29,29,29,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0191,Land at Pinehurst Road inside 'The Circle',-1.779918,51.582454,,0.4957,,,Not permissioned,,,,15,15,15,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0204,In front of 68 Oaksey Road,-1.78206,51.590188,,0.185704,,,Not permissioned,,,,6,6,6,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0233,Castle View Depot and garages,-1.725754,51.515959,,0.168621,,,Not permissioned,,2014-01-19,,4,4,4,yes,,,2019-12-15,
