row-number,field,issue-type,value
79,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,295.21', '400,265.27']"
80,LastUpdatedDate,default,2017-07-31
80,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,684.08', '400,722.75']"
81,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,449.42', '406,591.57']"
82,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,013.29', '404,708.61']"
83,LastUpdatedDate,default,2016-04-01
83,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,420.30', '404,443.17']"
84,LastUpdatedDate,default,2016-04-01
84,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,053.63', '399,348.35']"
85,LastUpdatedDate,default,2016-04-01
85,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,424.65', '405,155.97']"
86,LastUpdatedDate,default,2017-07-31
86,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,712.88', '402,729.99']"
87,LastUpdatedDate,default,2017-07-31
87,"GeoX,GeoY",Failed to convert point to decimal %s,"['366,088.76', '402,278.07']"
88,LastUpdatedDate,default,2017-07-31
88,"GeoX,GeoY",Failed to convert point to decimal %s,"['366,924.51', '403,609.00']"
89,LastUpdatedDate,default,2017-07-31
89,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,946.21', '399,831.75']"
90,LastUpdatedDate,default,2017-07-31
90,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,415.37', '404,913.03']"
91,LastUpdatedDate,default,2017-07-31
91,"GeoX,GeoY",Failed to convert point to decimal %s,"['363,410.36', '397,605.32']"
92,LastUpdatedDate,default,2017-07-31
92,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,445.74', '405,556.83']"
93,LastUpdatedDate,default,2017-07-31
93,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,310.73', '400,130.51']"
94,LastUpdatedDate,default,2017-07-31
94,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,956.66', '403,039.78']"
95,LastUpdatedDate,default,2017-07-31
95,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,103.90', '401,490.32']"
96,LastUpdatedDate,default,2017-07-31
96,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,567.14', '401,573.97']"
97,LastUpdatedDate,default,2017-07-31
97,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,332.87', '400,187.60']"
98,LastUpdatedDate,default,2017-07-31
98,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,689.81', '404,636.64']"
99,LastUpdatedDate,default,2017-07-31
99,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,493.15', '404,831.59']"
100,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,588.88', '402,404.42']"
101,"GeoX,GeoY",Failed to convert point to decimal %s,"['364,093.57', '399,818.17']"
102,LastUpdatedDate,default,2017-07-31
102,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,838.13', '405,836.33']"
103,LastUpdatedDate,default,2017-07-31
103,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,929.94', '399,108.21']"
104,"GeoX,GeoY",Failed to convert point to decimal %s,"['364,606.99', '402,864.58']"
105,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,846.06', '405,140.16']"
106,"GeoX,GeoY",Failed to convert point to decimal %s,"['364,329.66', '402,436.76']"
107,LastUpdatedDate,default,2017-07-31
107,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,510.10', '399,888.05']"
108,LastUpdatedDate,default,2017-07-31
108,"GeoX,GeoY",Failed to convert point to decimal %s,"['369,051.46', '399,874.65']"
109,LastUpdatedDate,default,2017-07-31
109,"GeoX,GeoY",Failed to convert point to decimal %s,"['364,960.27', '400,622.38']"
110,LastUpdatedDate,default,2017-07-31
110,"GeoX,GeoY",Failed to convert point to decimal %s,"['354,580.79', '404,257.71']"
111,LastUpdatedDate,default,2017-07-31
111,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,726.35', '403,747.55']"
112,LastUpdatedDate,default,2017-07-31
112,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,721.31', '403,439.86']"
113,LastUpdatedDate,default,2017-07-31
113,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,693.54', '400,816.32']"
114,LastUpdatedDate,default,2017-07-31
114,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,573.10', '399,938.65']"
115,LastUpdatedDate,default,2017-07-31
115,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,045.76', '405,433.21']"
116,LastUpdatedDate,default,2017-07-31
116,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,046.27', '405,891.24']"
117,LastUpdatedDate,default,2017-07-31
117,"GeoX,GeoY",Failed to convert point to decimal %s,"['363,549.81', '399,823.16']"
118,LastUpdatedDate,default,2017-07-31
118,"GeoX,GeoY",Failed to convert point to decimal %s,"['355,581.01', '404,181.42']"
119,LastUpdatedDate,default,2017-07-31
119,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,339.60', '402,479.84']"
120,LastUpdatedDate,default,2017-07-31
120,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,472.38', '399,643.49']"
121,LastUpdatedDate,default,2017-07-31
121,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,411.82', '405,418.36']"
122,LastUpdatedDate,default,2017-07-31
122,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,885.57', '400,240.78']"
123,LastUpdatedDate,default,2017-07-31
123,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,559.26', '405,407.18']"
124,LastUpdatedDate,default,2017-07-31
124,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,711.12', '405,795.31']"
125,"GeoX,GeoY",Failed to convert point to decimal %s,"['367,502.20', '399,977.99']"
126,LastUpdatedDate,default,2017-07-31
126,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,546.33', '400,168.80']"
127,LastUpdatedDate,default,2017-07-31
127,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,163.94', '406,354.92']"
128,LastUpdatedDate,default,2017-07-31
128,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,107.74', '398,060.38']"
129,"GeoX,GeoY",Failed to convert point to decimal %s,"['363,030.70', '397,508.53']"
130,LastUpdatedDate,default,2017-11-20
130,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,494.59', '404,494.55']"
