site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Carley Hill School, Emsworth Road",yes,,2018-11-30,,4.20,110,99,Pre-application enquiry ref. 16/01431/P1 expired,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.399579 54.927575),104,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Phases 2-6, Chester Road",yes,,2018-11-30,,16.72,500,450,Permitted application ref. 18/00255/FU4,local-authority-eng:SND,mixed ownership,2019-06-28,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.445092 54.892781),107,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Glebe Parkway,yes,2019-11-30,2018-11-30,,1.64,43,43,Permitted application ref. 16/01045/FUL,local-authority-eng:SND,not owned by a public authority,2016-11-23,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.527058 54.898914),109,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Site of former Broomhill Estate.,yes,,2018-11-30,,3.90,148,148,Permitted application ref. 16/01161/FU4,local-authority-eng:SND,not owned by a public authority,2017-08-18,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.457422 54.832565),112,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
"Lambton Lane, land at",yes,,2019-11-30,,4.43,274,252,Live application pending ref. 17/00589/FUL - proposed combined total 271 dwellings,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,pending decision,,POINT(-1.504737 54.849984),194,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Junglerama, Victoria Road",,,2018-11-30,,0.29,12,12,Permitted application ref. 16/00115/FU4,local-authority-eng:SND,mixed ownership,2016-11-28,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.522537 54.912052),312,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
Hetton Downs Phase 2,yes,,2019-11-30,,3.97,112,100,Permitted application ref. 17/02178/FU4,local-authority-eng:SND,mixed ownership,2019-04-18,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.447475 54.830192),328,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Grangetown Autos and land to the South. East side of Ryhope Road,yes,2019-11-30,2018-11-30,,1.27,46,46,"Permitted outline application ref. 15/01629/OUT, with live application pending ref. 17/00386/FUL for 48 units on land to the north",local-authority-eng:SND,not owned by a public authority,2016-08-08,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.359341 54.876147),380,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Site of former Kentmere House,yes,,2018-11-30,,0.64,19,19,"Pre-application ref. 13/01367/P7 - proposed 20 dwellings, development acceptable in principle. Concise brief prepared. Full application for 19 17/02296/FUL",local-authority-eng:SND,owned by a public authority,2018-03-07,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.482169 54.850061),469,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Site of former Gilpin House,,,2018-11-30,,0.34,12,11,"Pre-application ref. 13/01367/P7 - proposed 12 dwellings, development acceptable in principle",local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.481507 54.850616),470,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Vane Arms, Silksworth",yes,,2018-11-30,,0.09,7,7,Permitted application ref. 17/01168/FUL - proposed conversion to 7 self-contained apartments,local-authority-eng:SND,not owned by a public authority,2017-09-20,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.402311 54.872735),502,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Doxford Park Phase 6,yes,,2018-11-30,,3.99,100,100,Part of South Sunderland Growth Area masterplan and draft SPD. Permitted application: 18/00438/FUL for 100,local-authority-eng:SND,not owned by a public authority,2019-06-13,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.411645 54.869555),504,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Council Yard, North St, Silksworth",yes,2019-11-30,2018-11-30,,0.14,6,3,Permitted application ref. 11/01908/FUL - under construction,local-authority-eng:SND,mixed ownership,2011-11-01,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.405567 54.875987),531,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Land at Redcar Road/Rawdon Rd,yes,2019-11-30,2018-11-30,,0.28,10,10,"Pre-application enquiry ref. 10/00104/ENQ - proposed 8 bungalows and a core house, development acceptable in principle. Development Brief prepared",local-authority-eng:SND,owned by a public authority,2018-02-27,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.421299 54.924409),537,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Hylton Skills campus, north Hylton Road",yes,,2018-11-30,,3.55,105,90,"Planning application ref. 19/01427/FUL - Demolition of redundant former college buildings and construction of 105 dwellings and associated infrastructure, boundaries and landscaping.",local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,pending decision,,POINT(-1.417629 54.923556),563,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Pheonix Tower Business Park, Castletown Way",yes,,2019-11-30,,3.98,118,118,"Permitted application ref. 18/00823/REM - Reserved matters to previously approved outline application 14/00292/OUT - Approval sought for appearance, landscaping, layout and scale (for 118 dwellings). (Amended Description)",local-authority-eng:SND,not owned by a public authority,2018-10-31,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.422453 54.922276),565,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Fulwell Fire Station, Station Road",,,2018-11-30,,0.27,25,23,,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,POINT(-1.383924 54.928981),568,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
Galen Building,,,2018-11-30,,0.21,128,115,,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.387873 54.904107),655,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Sunniside Central Area, Villiers Street",,,2018-11-30,,1.21,20,18,Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.37711 54.907279),659,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
63 Fawcett Street,yes,,2018-11-30,,0.02,7,7,,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.382274 54.907224),660,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
12 Fawcett Street,yes,2019-11-30,2018-11-30,,0.02,5,5,Permitted application ref. 14/01962/FUL and 16/00357/FUL. Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2016-04-25,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.381455 54.906708),661,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
255 High Street West,,,2018-11-30,,0.04,9,9,Permitted application ref. 18/00531/FUL. Part of Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2018-10-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.384552 54.90711),665,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
South Hylton House,,,2018-11-30,,2.53,55,50,,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.443164 54.901462),678,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Hylton Castle Library, Cranleigh Road",yes,2019-11-30,2018-11-30,,0.18,9,9,Permitted application ref. 17/00427/FU4,local-authority-eng:SND,not owned by a public authority,2017-04-26,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.446771 54.922749),687,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Derwent House, Washington Town Centre",yes,,2018-11-30,,0.05,48,48,Permitted Prior Notification application ref. 17/00087/PCJ,local-authority-eng:SND,not owned by a public authority,2017-03-09,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.53494 54.896896),688,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"First Floor,the Old Vestry, 23 Fawcett Street",yes,,2018-11-30,,0.02,7,7,Full permission for 9 units 17/01442/FUL. Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2017-12-01,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.381143 54.905682),690,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Cheadle Centre, Caithness Road, Hylton",yes,,2018-11-30,,0.52,19,19,Full permission for 19 units: 17/02446/FU4,local-authority-eng:SND,owned by a public authority,2018-07-03,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.455713 54.923751),693,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Gray Road, Hendon",yes,2019-11-30,2018-11-30,,0.03,7,7,,local-authority-eng:SND,not owned by a public authority,2017-05-31,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.368075 54.899756),698,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
Upper floors 18 Fawcett Street,,2019-11-30,2018-11-30,,0.02,6,6,,local-authority-eng:SND,not owned by a public authority,2017-05-12,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.381278 54.906178),699,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
67 John Street,yes,,2018-11-30,,0.02,9,9,Full permission for 9 units 16/02216/FUL,local-authority-eng:SND,not owned by a public authority,2017-11-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.38106 54.907156),701,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
Westbourne Road,yes,,2018-11-30,,0.06,9,9,Full permission for 9 units: 16/01749/FUL,local-authority-eng:SND,not owned by a public authority,2017-06-08,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.395253 54.90508),703,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
"Fence Houses Comrades Club, Station Avenue North, Fence Houses",yes,,2018-11-30,,0.10,8,8,Full permission for 8 units: 17/00578/SUB,local-authority-eng:SND,not owned by a public authority,2017-08-08,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.504538 54.846093),704,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
2 Grange Crescent,yes,2019-11-30,2018-11-30,,0.02,6,6,,local-authority-eng:SND,not owned by a public authority,2017-08-18,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.383635 54.899899),705,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
"Mayholme, 31 Sea View Road",yes,2019-11-30,2018-11-30,,0.08,7,7,,local-authority-eng:SND,not owned by a public authority,2017-09-22,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.375046 54.887634),706,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
"Pennywell Business Centre, Pennywell",,,2018-11-30,,0.49,30,27,,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.439408 54.898048),714,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
"Land at Dixon Square, Causeway",,,2018-11-30,,0.19,10,9,,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.378118 54.914842),720,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
"The Ropery, Websters Bank",,,2018-11-30,,1.54,48,43,,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.402178 54.913462),721,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
Former Sunderland High School,yes,,2019-11-30,,0.58,57,57,Full permission for 57 units of extra-care: 17/01761/FUL,local-authority-eng:SND,not owned by a public authority,2017-12-11,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.380318 54.897582),724,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30
"Camrex House/Tatham Street Hostel, 3 Tatham Strt, Sunderla,",yes,,2018-11-30,,0.16,50,50,Full permission for 50 units: 18/00825/FUL,local-authority-eng:SND,not owned by a public authority,2018-10-09,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.378075 54.902495),725,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
"9 - 12 Summerhill, Sundend, SR2 7NX",yes,,2019-11-30,,0.04,10,10,Full permission for 10 units: 18/01849/FUL,local-authority-eng:SND,not owned by a public authority,2019-03-05,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.394215 54.902513),726,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30
"43 - 45 Newcastle Road, Sunderland",yes,,2019-11-30,,0.05,9,9,Permission in principle - 18/02210/PIP,local-authority-eng:SND,not owned by a public authority,2019-04-09,https://www.sunderland.gov.uk/online-applications,permissioned,permission in principle,POINT(-1.383791 54.917235),727,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30
"12-13 Toward Road, Sunderland",yes,,2018-11-30,,0.04,12,12,Permitted Prior Notification for 12 units: 18/01450/PCJ,local-authority-eng:SND,not owned by a public authority,2018-10-26,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.376187 54.904597),728,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
Sunderland Church High School Mowbray Road Sunderland SR2 8HY,yes,,2019-11-30,,0.21,15,15,Full permission for 15 units: 18/00485/FDC,local-authority-eng:SND,not owned by a public authority,2018-08-20,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.379707 54.897758),729,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30
47-49 Newcastle Road,,,2019-11-30,,0.02,6,6,Permission in principle - 19/00614/PIP,local-authority-eng:SND,not owned by a public authority,2019-05-08,https://www.sunderland.gov.uk/online-applications,permissioned,permission in principle,POINT(-1.383852 54.91737),742,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30
"High Usworth School, Well Bank Road",yes,2019-11-30,2018-11-30,,0.65,56,14,Permitted application ref. 16/02266/FU4,local-authority-eng:SND,mixed ownership,2017-06-14,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.533492 54.918358),B056,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
Ryhope and Cherry Knowles Hospital,yes,,2018-11-30,,27.67,640,640,"Permitted hybrid application ref. 16/01524/HYB - Full Planning Permission for 304 dwellings, with Outline Planning Permission for 496 dwellings and an 80-bed care village. Part of South Sunderland Growth Area masterplan (Cherry Knowle) and draft SPD",local-authority-eng:SND,mixed ownership,2017-06-26,https://www.sunderland.gov.uk/online-applications,permissioned,other,POINT(-1.374281 54.861397),B062,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Farringdon Row Phase 2-4,,,2018-11-30,,1.99,48,44,Part of Farringdon Row Development Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.393119 54.912014),B078,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Southwick Primary School, Clarence Street",,,2018-11-30,,1.49,24,22,,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.407579 54.920479),B091,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"High Ford Estate, Flodden Road",yes,2019-11-30,2018-11-30,,1.91,285,116,Permitted application ref. 11/01794/FUL - under construction,local-authority-eng:SND,not owned by a public authority,2012-10-25,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.431928 54.903135),B106,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Low Moorsley, land at (Ennerdale Street)",,,2018-11-30,,3.19,66,59,Live outline application ref. 14/01371/OUT - proposed 83 dwellings,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,POINT(-1.463323 54.81017),B293A,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Philadelphia Complex,yes,,2018-11-30,,17.29,250,250,"Reserved matter application pursuant to 14/00538/HYB, seeking approval of the details of access, appearance, landscaping, layout and scale for the erection of 452 residential units on Phase 1(a), 2(a), 3 and 4.",local-authority-eng:SND,not owned by a public authority,2016-06-10,https://www.sunderland.gov.uk/online-applications,permissioned,other,POINT(-1.478291 54.864495),B330A,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
"Seaburn Amusements, Whitburn Road",yes,,2018-11-30,,2.47,140,140,Live outline hybrid application pending ref. 16/02056/HY4 - proposed mixed-use development with up to 279 dwellings overall. Part of Seaburn Masterplan and Design Code SPD,local-authority-eng:SND,owned by a public authority,2017-10-31,https://www.sunderland.gov.uk/online-applications,permissioned,outline planning permission,POINT(-1.370399 54.936576),B413,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Penshaw House,yes,,2018-11-30,,1.09,10,9,Application Pending for 18 units: 17/01631/FU4,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.499632 54.869823),B448,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
"Former Stannington Centre and adjoining greenspace, Hillview, Stannington Grove",,,2018-11-30,,0.81,20,18,Enquiry ref. 10/02550/MNQ refused - interest in residential development,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.381338 54.885831),B451,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Thornbeck College site,,,2018-11-30,,0.37,11,10,Enquiry ref. 11/01303/MNQ - proposed extra care facilities,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.395466 54.92715),B467B,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
