site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Marlborough Street, Scarborough",yes,,2017-12-18,,0.06,6,6,The site could be redeveloped for housing for between 6 and 10 dwellings.,local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.399048 54.286299),BR-038,https://tinyurl.com/yblbmzos,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-038
"Westwood Campus Site, Valley Bridge, Scarborough",yes,,2017-12-18,,0.83,50,50,Site is allocated in the Local Plan (Ref: HA2). Conversion of college building (listed) into circa 50 apartments.,local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.404633 54.278113),BR-039,https://tinyurl.com/ybvzm55b,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-039
"101 Prospect Mount Road, Scarborough",yes,,2017-12-18,,0.43,30,30,Site is allocated in the Local Plan (Ref: HA3). Redevelopment of County Council premises - Day Centre.,local-authority-eng:SCE,owned by a public authority,,,not permissioned,,POINT(-0.429811 54.28406),BR-040,https://tinyurl.com/y7ancmef,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-040
"Land at Yorkshire Coast College, Lady Edith's Drive, Scarborough",yes,,2017-12-18,,4.62,140,140,Site is allocated in the Local Plan (Ref: HA4). Redevelopment of college site.,local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.436554 54.284085),BR-041,https://tinyurl.com/y7gjtsw4,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-041
"Land off Stakesby Road, Whitby (part of)",yes,,2017-12-18,,1.45,50,50,16/00825/FL (Part approved). Part of site approved for 20 dwellings (see BR-029). Remainder of site could accommodate up to 30 units. (Ref: HA16),local-authority-eng:SCE,owned by a public authority,2016-11-10,,permissioned,full planning permission,POINT(-0.628771 54.487417),BR-043,https://tinyurl.com/ycwul5cn,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-043
"Residential Care Home, 1 Larpool Lane, Whitby",yes,,2017-12-18,,0.7,20,20,Site is allocated in Local Plan (Ref: HA20). Redevelopment of County Council premises - Care Home.,local-authority-eng:SCE,owned by a public authority,,,not permissioned,,POINT(-0.611225 54.479038),BR-045,https://tinyurl.com/y9zt8ets,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-045
"Silver Birches, Station Avenue, Filey",yes,,2017-12-18,,0.3,30,30,Site is allocated in Local Plan (Ref: HA25). Redevelopment of County Council premises - Care Home),local-authority-eng:SCE,owned by a public authority,,,not permissioned,,POINT(-0.294638 54.210858),BR-046,https://tinyurl.com/ybwhywcu,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-046
"20 Ryndleside, Scarborough",yes,,2018-09-05,,0.06,6,6,Conversion of Hotel (C1) into 6 no. self contained flats (C3),local-authority-eng:SCE,not owned by a public authority,2017-05-22,,permissioned,full planning permission,POINT(-0.41618 54.28856),BR-047,https://tinyurl.com/y7vuznom,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-047
"164-166 North Marine Road, Scarborough",yes,,2018-09-05,,0.02,8,8,Conversion of Guest House (C1 use) into 8 no. self-contained flats (C3 use),local-authority-eng:SCE,not owned by a public authority,2018-02-16,,permissioned,full planning permission,POINT(-0.40564 54.28975),BR-048,https://tinyurl.com/y8h8obnw,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-048
"99 Peasholm Drive, Scarborough",yes,,2018-09-05,,0.03,5,5,Conversion of residential rest home to 5 no. flats,local-authority-eng:SCE,not owned by a public authority,2018-02-21,,permissioned,full planning permission,POINT(-0.40937 54.28942),BR-049,https://tinyurl.com/ya4spj9s,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-049
"Goodie New Shoes, 37-39 Huntriss Row, Scarborough",yes,,2018-09-05,,0.03,8,8,"Alterations, extension and change of use of upper floors from offices to flats and installation of new shop front",local-authority-eng:SCE,not owned by a public authority,2018-03-14,,permissioned,full planning permission,POINT(-0.40003 54.28111),BR-050,https://tinyurl.com/y7qgmk4s,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-050
"13 Queen Street, Scarborough",yes,,2018-09-05,,0.01,9,9,Conversion of existing building into 9 apartments with associated alterations,local-authority-eng:SCE,not owned by a public authority,2018-03-22,,permissioned,full planning permission,POINT(-0.39896 54.28357),BR-051,https://tinyurl.com/y7semczm,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-051
"Sandbech Hotel, 1-2 Crescent Terrace, Whitby",yes,,2018-09-05,,0.02,8,8,Change of use of part of Hotel to self contained apartments with associated external alterations,local-authority-eng:SCE,not owned by a public authority,2018-02-23,,permissioned,full planning permission,POINT(-0.61805 54.49009),BR-052,https://tinyurl.com/y6w5ojkh,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-052
"Braeburn House, Moor Lane, Eastfield",yes,,2018-09-05,,0.39,29,29,Erection of 29 no. affordable apartments for older persons,local-authority-eng:SCE,owned by a public authority,2018-03-06,,permissioned,full planning permission,POINT(-0.39532 54.23947),BR-053,https://tinyurl.com/y82tozwa,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-053
"84 Filey Road, Scarborough",yes,,2018-09-05,,0.19,18,18,Demolition of existing building and construction of 18no unit apartment block with car park and communal garden to the rear,local-authority-eng:SCE,not owned by a public authority,2018-03-29,,permissioned,full planning permission,POINT(-0.39385 54.26444),BR-054,https://tinyurl.com/yazse7sz,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-054
"Former Scarborough Rugby Union Football Club, Scalby Road, Scalby, Scarborough",yes,,2018-09-05,,1.49,63,63,"Outline application for 24 dwellings, GPs surgery and 59 room Extra Care building, with full details of the Extra care building and new vehicular access",local-authority-eng:SCE,not owned by a public authority,2018-01-12,,permissioned,full planning permission,POINT(-0.44207 54.2951),BR-056,https://tinyurl.com/y7e3f4b5,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-056
"Former site of 79 Cross Lane, Newby",yes,,2018-09-05,,0.17,8,8,Construction of 8 no. two bedroom apartments with on site parking,local-authority-eng:SCE,not owned by a public authority,2018-02-01,,permissioned,full planning permission,POINT(-0.42527 54.29479),BR-057,https://tinyurl.com/yc8pasgo,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-057
"Land to East of the Nurseries, Whitby",yes,,2018-09-05,,0.3,10,10,Site is allocated in Local Plan (Ref: HA17). Redevelopment of Borough Council premises.,local-authority-eng:SCE,owned by a public authority,2018-02-16,,permissioned,full planning permission,POINT(-0.62936 54.48597),BR-058,https://tinyurl.com/y7zbcjyn,2018-09-05,brownfield-land/local-authority-eng/SCE/BR-058
"Land at Dean Road, Scarborough",yes,,2018-09-05,,0.48,30,30,Site is allocated in the Local Plan (Ref: HA5). Redevelopment of former St Mary's Hospital site.,local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.405644 54.284543),BR-059,https://tinyurl.com/ya9rxjvr,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-059
"Electricity Building, Filey Road, Gristhorpe",yes,,2018-09-05,,2.4,45,45,"17/01827/RM. Demolition of offices and industrial buildings and erection of 45 residential dwellings including 7 affordable houses, creation of retail shop (A1), open space and associated infrastructure",local-authority-eng:SCE,not owned by a public authority,2018-01-23,,permissioned,reserved matters approval,POINT(-0.330164 54.222375),BR-060,https://tinyurl.com/y8kclfl6,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-060
