site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Royal Mail Sorting/ Delivery Office, White Rose Lane, Woking GU22 7AJ",,,2020-12-09,,0.36,200,88,Minimum yield is from the Site Allocations DPD. Maximum yield is from the HIF bid.,local-authority-eng:WOI,not owned by a public authority,,,Not permissioned,,POINT(-0.556 51.318),SHLAAMHM001,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAMHM001
"Woking Police Station, Station Approach, Woking, GU21 7SY",,2020-12-10,2020-12-10,,0.86,,,Incorporated into BLR2020008,local-authority-eng:WOI,,,,,,POINT(-0.558 51.316),SHLAAMHM002,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAMHM002
"Car Park (east), Oriental Road, Woking GU22 8BD",,2020-12-10,2020-12-09,,1.22,400,400,Open space also required. Incorporated into BLR2020006,local-authority-eng:WOI,owned by a public authority,,,Not permissioned,,POINT(-0.551 51.321),SHLAAMHM003,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAMHM003
"Coal Yard /Aggregates Yard site adjacent to railway line, Guildford Road, Bradfield Close, Woking GU22 7QE",,2020-12-10,2020-12-10,,0.79,,,Incorporated into BLR2020007,local-authority-eng:WOI,owned by a public authority,,,Not permissioned,,POINT(-0.561 51.316),SHLAAMHM005,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAMHM005
"11-15 Guildford Road / Southern House/Jubilee House/ Lynton House, Station Approach, Woking GU22 7PX",,2020-12-10,2020-12-10,,0.44,,,Incorporated into BLR2020001. PLAN/2020/0681: Erection of hoarding to enclose site.,local-authority-eng:WOI,not owned by a public authority,2020-09-09,,permissioned,full planning permission,POINT(-0.56 51.316),SHLAAMHM007,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAMHM007
"Coroners Court (former Woking Magistrate's Court) Station Approach, Woking GU22 7YL",,2020-12-10,2020-12-10,,0.32,,,Incorporated into BLR2020008,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.558 51.316),SHLAAMHM010,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAMHM010
"Somerset House, 1-18 Oriental Road, Woking GU22 7BG",,2020-12-10,2020-12-10,,0.17,,,Office floorspace also required. Incorporated into BLR2020004,local-authority-eng:WOI,not owned by a public authority,,,Not permissioned,,POINT(-0.557 51.317),SHLAAMHM012,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAMHM012
"Corner Garage, 16-18 St John's Road, St John's, GU21 7SA",,,2020-12-09,,0.12,11,11,Yield from draft Site Allocations DPD.,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.594 51.312),SHLAASJT004,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAASJT004
"Chancery House, 30 St Johns Road, St Johns, Woking, GU21 7SA",,,2020-12-10,,0.07,8,8,Yield from SHLAA (2017),local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.593 51.313),SHLAASJT005,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAASJT005
"145 Goldsworth Road, Woking, GU21 6LS",,,2020-12-10,,0.02,5,5,Yield from SHLAA (2017). PLAN/2016/1194 permitted for 5 dwellings.,local-authority-eng:WOI,not owned by a public authority,2018-11-16,,permissioned,full planning permission,POINT(-0.568 51.317),SHLAASTJ001,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAASTJ001
