site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Watling Street (rear of Hicks Road/High Street) Markyate,yes,,2019-10-14,,0.31,9,9,,local-authority-eng:DAC,not owned by a public authority,2015-11-02,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.458572 51.836587),BLR/021,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-021
Garden Scene Nursery Chapel Croft Chipperfield,yes,,2019-10-14,,0.81,15,15,4/00780/14/PRE 4/02659/06/PRE 4/00369/93/4 refer to simmonds nursery,local-authority-eng:DAC,not owned by a public authority,2019-07-29,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.491149 51.707391),BLR/022,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-022
Bourne End Mills Bourne End Lane,yes,,2018-08-16,,3.98,45,45,Hybrid application granted outline / part full permission on 9/03/16,local-authority-eng:DAC,not owned by a public authority,2017-07-17,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,reserved matters approval,POINT(-0.526102 51.742957),BLR/023,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-023
St Mary's Convent Green End Road Boxmoor,yes,,2018-08-16,,0.81,20,20,LBC granted 13/06/16,local-authority-eng:DAC,not owned by a public authority,2016-06-13,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.491942 51.747065),BLR/024,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-024
Former Sappi Nash Mills,yes,,2018-08-16,,6.67,38,38,"Part permissioned as applications not recived for part of site to south of Red Lion Lane. CoU of Blocks I and K granted 2/04/13. 450 dwellings plus care home, community use, A3, B1 and Day Nursery, etc granted 12/05/10",local-authority-eng:DAC,not owned by a public authority,2015-10-19,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.45143 51.728698),BLR/025,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-025
St Francis De Sales Preparatory School Aylesbury Road,yes,,2019-10-14,,0.69,40,40,Query whether this constitutes previously developed land,local-authority-eng:DAC,not owned by a public authority,2018-03-09,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.699309 51.831475),BLR/026,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-026
"Chipperfield Garden Centre, Chipperfield",yes,,2019-10-14,,3.22,71,71,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.507454 51.71278),BLR/027,https://goo.gl/,2018-08-17,brownfield-land/local-authority-eng/DAC/BLR-027
"Hemel Hempstead Garden Centre, Great gaddesden",yes,,2019-10-14,,2.44,74,74,,local-authority-eng:DAC,not owned by a public authority,2019-09-20,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.506741 51.79204),BLR/028,https://goo.gl/,2018-08-17,brownfield-land/local-authority-eng/DAC/BLR-028
"Marchmont Farm, Link Road, Hemel",yes,,2019-10-14,,0.65,6,6,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.473399 51.767037),BLR/029,https://goo.gl/,2018-08-17,brownfield-land/local-authority-eng/DAC/BLR-029
"Former Bobsleigh Hotel, Bovingdon",yes,,2019-10-14,,1.4,61,61,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.526586 51.72837),BLR/030,https://goo.gl/,2018-08-17,brownfield-land/local-authority-eng/DAC/BLR-030
"Caddington Hall, Markyate",yes,,2019-10-14,,4.65,10,10,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.452067 51.843896),BLR/031,https://goo.gl/,2018-08-17,brownfield-land/local-authority-eng/DAC/BLR-031
"Dacre House, Hillfield Road",yes,,2019-10-14,,0.05,5,5,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.470114 51.753007),BLR/032,https://goo.gl/,2018-08-17,brownfield-land/local-authority-eng/DAC/BLR-032
Leys Road (No 121),yes,,2019-10-14,,0.15,3,3,,local-authority-eng:DAC,not owned by a public authority,2019-10-22,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.456609 51.742723),BLR/033,https://goo.gl/,2018-08-17,brownfield-land/local-authority-eng/DAC/BLR-033
"Button House, Pix Farm Lane, Hemel Hempstead",yes,,2019-10-14,,2.55,58,56,,local-authority-eng:DAC,not owned by a public authority,2019-03-05,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.519279 51.747933),BLR/034,https://goo.gl/,2019-10-14,brownfield-land/local-authority-eng/DAC/BLR-034
"Kier site, Maylands Avenue",yes,,2019-10-14,,1.1,300,250,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.437575 51.754567),BLR/035,https://goo.gl/,2019-10-14,brownfield-land/local-authority-eng/DAC/BLR-035
The Old Mill Public House,yes,,2019-10-14,,0.18,9,6,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,,BLR/036,https://goo.gl/,2019-10-14,brownfield-land/local-authority-eng/DAC/BLR-036
Hillfield Road,yes,,2019-10-14,,0.22,45,28,,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.471542 51.75296),BLR/037,https://goo.gl/,2019-10-14,brownfield-land/local-authority-eng/DAC/BLR-037
