site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Pioneering Way, Middlehaven",,,2017-12-11,,0.65,17,14,,local-authority-eng:MDB,owned by a public authority,,,not permissioned,,POINT(-1.23086 54.58173),BR46,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR46-Pioneering-Way.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR46
"Pullman House, Zetland Road",yes,,2017-12-11,,0.04,29,29,"Change of use of ground, 1st, 2nd and 3rd floor offices (B1) to 29no self-contained flats (C3). Conversion started 25/10/18",local-authority-eng:MDB,not owned by a public authority,2017-09-05,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OSXBL7KU00300,permissioned,other,POINT(-1.23477 54.57848),BR50,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR50-Pullman-House.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR50
"New Exchange Buildings, Queen's Square",yes,,2019-03-08,,0.04,12,12,Change of use of upper floors from offices (B1) to 12no two bed apartments (C3). Subdivision of ground floor to 2no commercial offices (B1) and conversion of two window openings to provide door openings. Work commenced 3/4/19,local-authority-eng:MDB,not owned by a public authority,2018-11-14,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?keyVal=PD194CKUGRT00&activeTab=summary,permissioned,full planning permission,POINT(-1.23367 54.57972),BR54,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR54-New-Exchange-Buildings.pdf,2019-03-08,brownfield-land/local-authority-eng/MDB/BR54
"Vancouver House, Fry Street",yes,,2019-03-08,,0.24,26,26,"Change of use from offices (B1) to 102no bed hotel (C1), gym facility/banqueting hall (D2) with associated restaurant and kitchen facilities, 26no one and two bedroomed apartments (C3) and a restaurant/caf?® (A3)",local-authority-eng:MDB,mixed ownership,2019-11-15,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PVGPWJKUFQR00,permissioned,full planning permission,POINT(-1.23289 54.57651),BR55,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR55-Vancouver-House.pdf,2019-03-08,brownfield-land/local-authority-eng/MDB/BR55
47 & 49 Linthorpe Road,yes,,2019-03-08,,0.04,20,20,Non material amendment on application 17/0432/FUL (Change of use of first and second floors into HMO accommodation consisting of six pods with a total of twenty beds) for the installation of 2 no. additional windows and revised internal layout.,local-authority-eng:MDB,not owned by a public authority,2018-07-26,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?keyVal=PB0YPWKU01000&activeTab=summary,permissioned,full planning permission,POINT(-1.23725 54.57592),BR56,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR56-45-47-Linthorpe-Road.pdf,2019-03-08,brownfield-land/local-authority-eng/MDB/BR56
304 Linthorpe Road & 5 Albert Terrace,yes,,2019-03-08,,0.03,21,21,"Alterations and extension to 304 Linthorpe Road and 5 Albert Terrace to 31no student bed accommodation (Sui Generis) comprising 3no. 3 bed pods, 4no. 2 bed pods and 14no 1 bed self contained apartments with ancillary facilities.",local-authority-eng:MDB,not owned by a public authority,2018-11-08,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?keyVal=PAVMNCKUFY100&activeTab=summary,permissioned,full planning permission,POINT(-1.23942 54.5674),BR57,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR57-304-Linthorpe-Road.pdf,2019-03-08,brownfield-land/local-authority-eng/MDB/BR57
"Roworth Road, Thorntree",yes,,2017-12-11,,2.68,89,89,"Construction of 89no. dwellings, comprising 32no. bungalows and 57no. houses and associated highways and external works. 54 dwellings under construction as of 31/12/19",local-authority-eng:MDB,not owned by a public authority,2019-03-21,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?keyVal=PFKCAVKUHNZ00&activeTab=summary,permissioned,full planning permission,POINT(-1.18374 54.55651),BR3,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR3-Roworth-Road.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR3
"College Gardens, College Road",yes,,2017-12-11,,2.88,106,106,Erection of 106 no. dwellings and associated works. 39 dwellings under construction as of 31/12/19,local-authority-eng:MDB,not owned by a public authority,2018-10-11,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OR30JGKUG4M00,permissioned,full planning permission,POINT(-1.18938 54.56395),BR4,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR4-College-Gardens.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR4
"The Wave, Marton Road",,,2017-12-11,,0.53,109,109,"Erection of 5 storey building (comprising 109no units for student residential accommodation, 95 studios and 14 cluster flats) with car parking, boundary treatments and landscaping.",local-authority-eng:MDB,not owned by a public authority,2016-05-23,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK299,permissioned,full planning permission,POINT(-1.22501 54.57136),BR5,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR5-The-Wave.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR5
"Springfield Hotel, Borough Road",,,2017-12-11,,0.05,13,13,"Demolition of existing public house & erection of 1no 7 storey mixed use building, consisting of part ground floor (A1) commercial unit & 13 residential units (77 bed total).",local-authority-eng:MDB,not owned by a public authority,2015-12-07,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK887,permissioned,full planning permission,POINT(-1.23183 54.57225),BR6,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR6-The-Springfield-Hotel.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR6
L/A 234 Linthorpe Road,,,2017-12-11,,0.03,7,7,"Erection of eight storey building consisting of 7no pods with 89 student beds (Sui Generis) and 56sqm ground floor retail unit (A1,A2,A3 or A4)",local-authority-eng:MDB,owned by a public authority,2019-12-19,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK559,permissioned,full planning permission,POINT(-1.2387 54.56963),BR7,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR7-LA-234-Linthorpe-Road.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR7
Station Street,,,2017-12-11,,0.19,337,337,"Erection of 7 storey student accommodation building comprising 337 student studios (Class C3) and ancillary space (231 sqm Retail - A1, Cafe - A3 and takeaway - A5).",local-authority-eng:MDB,not owned by a public authority,2017-10-09,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPC1VXKUFHZ00,permissioned,full planning permission,POINT(-1.23747 54.57912),BR17,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR17-Station-Street.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR17
"Former St David's School, Cowley Road, Acklam",yes,,2017-12-11,,6.05,139,139,Demolition of existing caretaker's property and erection of 139 dwellings with associated improvements to St David's Way including access widening and landscaping.,local-authority-eng:MDB,mixed ownership,,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q3SOHKKUIR600,pending decision,,POINT(-1.25123 54.54073),BR19,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR19-Former-St-Davids.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR19
"Bishopton Road, Grove Hill",yes,16/01/2020,2017-12-11,,2.76,92,92,Erection of 92no dwellinghouses (including 39no bungalows). Site complete as of 16/1/20,local-authority-eng:MDB,not owned by a public authority,2018-03-28,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?keyVal=P190V2KUK2R00&activeTab=summary,permissioned,full planning permission,POINT(-1.23089 54.55712),BR23,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR23-Bishopton-Road.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR23
"Brackenhoe East, Marton",yes,,2017-12-11,,1.78,82,82,Reserved matters application for the erection of 350 dwellings and associated works. Brownfield element (82 dwellings) on former car park to north of development.,local-authority-eng:MDB,owned by a public authority,2019-12-06,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PX075RKUGAM00,permissioned,reserved matters approval,POINT(-1.21227 54.54939),BR25,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR25-Brackenhoe-East.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR25
"Spring Street, Middlehaven",,,2017-12-11,,0.11,10,8,,local-authority-eng:MDB,owned by a public authority,,,not permissioned,,POINT(-1.23303 54.57987),BR42,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR42-Spring-Street.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR42
