site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Vantage (Fairfield House) Victoria Street Basingstoke,yes,,2020-12-21,,0.13657,37,37,A prior notification was approved for the conversion of the building to residential use (14/03542/GPDOFF) for 29 units in January 2015 with a further 1 unit added through an application in January 2016 (15/03960/FUL). An application for 7 additional units on an additional floor was granted in December 2016 (16/00971/FUL). The development is under construction. The site is deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-12-16,,permissioned,full planning permission,POINT(-1.089371 51.261669),16/00971/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O470CHCRG9B00,2017-12-31,brownfield-land/local-authority-eng/BAN/16-00971-FUL
Brackenwood House 1st & 2nd Floor Kimbell Road Basingstoke,yes,20191223,2019-12-23,,0.020575,6,6,Small site granted consent via prior approval (16/01362/GPDOFF) in September 2016. No start on site has been recorded at 1 April 2018 but the site considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-09-27,,permissioned,full planning permission,POINT(-1.104813 51.253292),16/01362/GPDOFF,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O5U024CR0FP00,2017-12-31,brownfield-land/local-authority-eng/BAN/16-01362-GPDOFF
21 & 23 Church Street Basingstoke,yes,,2020-12-21,,0.046766,5,5,Small site granted permission (16/01585/FUL) in November 2016. Currently under construction and considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-11-09,,permissioned,full planning permission,POINT(-1.0878 51.263274),16/01585/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O6LSBICRI7100,2017-12-31,brownfield-land/local-authority-eng/BAN/16-01585-FUL
Raja Newbury Road Headley,yes,20201221,2020-12-21,,0.113733,6,6,Small site granted permission (16/02465/FUL) in November 2016. The site completed in 2019/20,local-authority-eng:BAN,not owned by a public authority,2016-11-28,,permissioned,full planning permission,POINT(-1.257537 51.357905),16/02465/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9URSKCRLFM00,2017-12-31,brownfield-land/local-authority-eng/BAN/16-02465-FUL
JA Hirst & Sons Recycling Yard Hurstbourne Station Stoke Lane,yes,,2020-12-21,,2.440332,44,44,This site has detailed planning permission (16/02664/FUL) granted in November 2017. The site is deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2017-11-09,,permissioned,full planning permission,POINT(-1.380698 51.239902),16/02664/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAO18FCRMAW00,2018-12-31,brownfield-land/local-authority-eng/BAN/16-02664-FUL
20 Winchester Street Basingstoke,yes,,2020-12-21,,0.08928,14,14,Planning permission was granted in October 2013 for the conversion of the upper floors of the building to form 14 residential units (BDB/75489). A further application has since been granted for one additional flat (16/02676/FUL in September 2016). All units were recorded as started as of 1 April 2020. The site is deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-10-20,,permissioned,full planning permission,POINT(-1.088352 51.262632),16/02676/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAPTJXCRMDS00,2017-12-31,brownfield-land/local-authority-eng/BAN/16-02676-FUL
Whitway Farm Whitway Newbury,yes,,2020-12-21,,1.009092,5,5,Small site granted permission (16/03918/OUT) in April 2017. No start on site recorded at 1 April 2020 but site considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2017-04-11,,permissioned,outline planning permission,POINT(-1.342471 51.330098),16/03918/OUT,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFCTUICRJ1O00,2018-12-31,brownfield-land/local-authority-eng/BAN/16-03918-OUT
Mulfords Hill Centre 37-39 Mulfords Hill,yes,20191223,2019-12-23,,0.150465,8,8,Small site granted permission for 8 self contained apartments (C3) in March 2017 (16/04074/FUL). As at the 1 April 2018 construction was yet to start. Site considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2017-03-02,,permissioned,full planning permission,POINT(-1.141565 51.354178),16/04074/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG0M89CRJN700,2018-12-31,brownfield-land/local-authority-eng/BAN/16-04074-FUL
The Former Lamb Inn Hackwood Road,yes,20201221,2020-12-21,,0.128013,10,10,The site gained full planning permission for 10 units in May 2017 (16/04288/FUL). The site completed in 2019/20.,local-authority-eng:BAN,not owned by a public authority,2017-05-19,,permissioned,full planning permission,POINT(-1.084192 51.259787),16/04288/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGUIDVCRKFQ00,2017-12-31,brownfield-land/local-authority-eng/BAN/16-04288-FUL
5-9 Summerlea Court Herriard,yes,20191223,2019-12-23,,0.143079,5,5,Small site granted permission via prior approval (16/04684/GPDOFF) in April 2017. Site under construction and considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2017-04-26,,permissioned,full planning permission,POINT(-1.041119 51.198029),16/04684/GPDOFF,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIFK4QCR0GT00,2018-12-31,brownfield-land/local-authority-eng/BAN/16-04684-GPDOFF
