site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"The Workshop, Newtown Road, Henley-on-Thames",yes,,2017-12-22,,0.46,64,64,Large majority of site is Brownfield. Minimum net dwellings for a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*80=64),local-authority-eng:SOX,not owned by a public authority,2016-12-20,,permissioned,full planning permission,POINT(-0.893647 51.528452),P15/S3385/FUL (SHELAA: 390),,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S3385-FUL--SHELAA--390-
"13-16 St Martins Street, Wallingford",yes,,2017-12-22,,0.32,22,22,,local-authority-eng:SOX,not owned by a public authority,2016-10-21,,permissioned,full planning permission,POINT(-1.125902 51.598946),P16/S1514/FUL (SHELAA: 395),,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S1514-FUL--SHELAA--395-
"Sydney Harrison, House Mill Road, Lower Shiplake",yes,,2017-12-22,,0.43,16,16,,local-authority-eng:SOX,not owned by a public authority,2017-02-28,,permissioned,full planning permission,POINT(-0.882454 51.509265),P16/S2593/FUL (SHELAA: 398),,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S2593-FUL--SHELAA--398-
South Oxford Business Centre Lower Road Garsington,yes,,2017-12-22,,0.64,10,10,,local-authority-eng:SOX,not owned by a public authority,2016-11-10,,permissioned,full planning permission,POINT(-1.15653 51.701474),P16/S2932/FUL (SHELAA: 399),,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S2932-FUL--SHELAA--399-
"Hughendon Motors, London Road, Milton Common",yes,,2017-12-22,,0.27,5,5,,local-authority-eng:SOX,not owned by a public authority,2017-03-23,,permissioned,outline planning permission,POINT(-1.053878 51.724286),P17/S0322/O (SHELAA: 402),,2017-12-22,brownfield-land/local-authority-eng/SOX/P17-S0322-O--SHELAA--402-
"The Downs, Wheatley Road, Garsington",yes,,2017-12-22,,1.27,29,29,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.155502 51.725618),SHELAA: 822,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--822
"Land at Woodcote Garden Centre, Woodcote",yes,,2017-12-22,,0.39,9,9,Large majority of site is Brownfield.,local-authority-eng:SOX,not owned by a public authority,2017-06-29,,permissioned,full planning permission,POINT(-1.065993 51.534464),SHELAA: 824 (P16/S0375/FUL),,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--824--P16-S0375-FUL-
"Land at Highlands Farm, Henley-on-Thames",yes,,2017-12-22,,33.5682,536,536,Partially Brownfield site. Forms part of a larger site overall. The minimum number of net dwellings is based on the capacity calulated in the SHELAA (536). This is because the planning permission of 170 dwellings only relates to part of the site and not the overall site where there is potential for a higher capacity.,local-authority-eng:SOX,not owned by a public authority,2017-05-24,,permissioned,reserved matters approval,POINT(-0.931951 51.525911),SHELAA: 853 (P17/S0024/RM),,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--853--P17-S0024-RM-
"Foxcovert Farm, Woodcote",yes,,2017-12-22,,0.695364,17,17,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.078977 51.526168),SHELAA: 869,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--869
"Land at Wimblestraw Road, Berinsfield",yes,,2017-12-22,,1.07918,24,24,Minimum net dwellings is based on the capacity calculated in the SHELAA rather than the planning application which is still pending a decision.,local-authority-eng:SOX,not owned by a public authority,,,pending decision,outline planning permission,POINT(-1.176214 51.660541),SHELAA: 870,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--870
"Mongewell Park (Carmel College), Mongewell",yes,,2017-12-22,,30.9209,166,166,Partially Brownfield site. Forms part of a larger site overall.,local-authority-eng:SOX,not owned by a public authority,2016-03-21,,permissioned,full planning permission,POINT(-1.121745 51.583881),P11/W2357 (SHELAA: 940),,2017-12-22,brownfield-land/local-authority-eng/SOX/P11-W2357--SHELAA--940-
"Henley College, Henley-on-Thames",yes,,2017-12-22,,11.3281,184,184,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-0.915797 51.53542),SHELAA: 949,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--949
"Lord William's Lower School, Thame",yes,,2017-12-22,,7.93224,5,5,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-0.961993 51.744263),SHELAA: 979,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--979
"Chiltern's End, Henley-on-Thames",yes,,2017-12-22,,0.962755,27,27,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-0.918198 51.530209),SHELAA: 991,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--991
"Land east of Goring Road, Woodcote",yes,,2017-12-22,,3.96964,89,89,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.076562 51.527246),SHELAA: 999,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--999
