site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Station Gateway, Angel Drove, Ely",yes,,2017-12-12,,11.369943,100,100,"The site is allocated by the Local Plan for mixed-use development. Allocated for mixed-use development, to include dwellings, employment, small-scale retail and potentially leisure.",local-authority-eng:ECA,not owned by a public authority,,,not permissioned,,POINT(0.264881 52.391786),BLR1005,https://www.eastcambs.gov.uk/sites/default/files/BLR1005.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1005
"Princess of Wales Hospital, Lynn Road, Ely CB6 1DN",yes,,2017-12-12,,4.015621,77,77,"Development of the site to deliver a new healthcare facility, residential development and a residential care facility.",local-authority-eng:ECA,owned by a public authority,,,not permissioned,,POINT(0.276096 52.413149),BLR1006,https://www.eastcambs.gov.uk/sites/default/files/BLR1006.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1006
"Scotsdale Garden Centre, Market Street, Fordham, CB7 5LQ",yes,,2017-12-12,,8.629592,150,150,"150 residential dwellings, a 75-bed care home, a local shop and an ancillary medical consultation facility. Outline planning application includes 75-bed care home, shop and medical facility.",local-authority-eng:ECA,not owned by a public authority,2018-08-08,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OQGBMOGG0CI00,permissioned,outline planning permission,POINT(0.380995 52.308715),BLR1101,https://www.eastcambs.gov.uk/sites/default/files/BLR1101.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1101
"Fordham Technology Centre, 5 Station Road, Fordham, Ely, Cambridgeshire CB7 5LW",yes,,2017-12-12,,0.258882,9,9,The site boundary includes an area of brownfield land which forms part of a larger site with planning permission for residential development for up to 27 dwellings.,local-authority-eng:ECA,not owned by a public authority,2017-07-03,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGBSK1GG06800,permissioned,outline planning permission,POINT(0.383384 52.305717),BLR1102,https://www.eastcambs.gov.uk/sites/default/files/BLR1102.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1102
"Land Adacent, 12, Holt Fen, Little Thetford, Cambridgeshire, CB6 3BH",yes,,2018-11-09,,0.25882,4,4,Erection of four dwellings and associated works,local-authority-eng:ECA,not owned by a public authority,2016-04-15,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NYFC8TGGGTW00,permissioned,outline planning permission,POINT(0.251546 52.359867),BLR1701,https://www.eastcambs.gov.uk/sites/default/files/BLR1701.jpg,2018-11-09,brownfield-land/local-authority-eng/ECA/BLR1701
"Station Road, Littleport, Ely CB6 1JL",yes,,2017-12-12,,1.063172,39,39,"Residential development incorporating a new access, strategic landscaping & public open space.",local-authority-eng:ECA,not owned by a public authority,,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MZCLJJGG07G00,pending decision,,POINT(0.316185 52.459773),BLR1801,https://www.eastcambs.gov.uk/sites/default/files/BLR1801.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1801
"Site To North And North West Of 50, Station Road, Littleport, ELY, CB6 1QF",yes,,2018-11-09,,0.305409,3,3,"Demolition of existing structures and erection of 3 detached dwellings, with associated access and landscaping works",local-authority-eng:ECA,not owned by a public authority,2017-02-20,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OH5EWHGGLTD00,permissioned,full planning permission,POINT(0.315777 52.462525),BLR1803,https://www.eastcambs.gov.uk/sites/default/files/BLR1803.jpg,2018-11-09,brownfield-land/local-authority-eng/ECA/BLR1803
"The Bingo Hall, Hempfield Road, Littleport, ELY, CB6 1NW",yes,12/12/2019,2017-12-12,,0.1594,9,9,"Residential development of nine dwellings comprising 1no one bed flat, 4no two bed houses, 4no three bed houses, parking, access drive and associated site works",local-authority-eng:ECA,not owned by a public authority,2015-09-29,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NP0504GG06800,permissioned,full planning permission,POINT(0.304843 52.455757),BLR1802,https://www.eastcambs.gov.uk/sites/default/files/BLR1802.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1802
"20, Victoria Street, Littleport, Cambridgeshire, CB6 1LX",yes,,2019-11-11,,0.0389,4,4,,local-authority-eng:ECA,not owned by a public authority,2016-04-26,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O2L4EDGGJKP00,permissioned,full planning permission,POINT(0.30919 52.456095),BLR1826,https://www.eastcambs.gov.uk/sites/default/files/BLR1826%20-%2020%20Victoria%20Street%2C%20Littleport.pdf,2019-11-11,brownfield-land/local-authority-eng/ECA/BLR1826
"Land To Rear Of 7 & 7A Townsend, Soham, Cambridgeshire, CB7 5DB",yes,,2017-12-12,,0.532617,17,17,The submitted Local Plan identifies the site for housing development,local-authority-eng:ECA,not owned by a public authority,,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=MC59KNGG07G00,not permissioned,,POINT(0.332777 52.343162),BLR2301,https://www.eastcambs.gov.uk/sites/default/files/BLR2301.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR2301
"90 Paddock Street, Soham, Ely Cambridgeshire CB7 5JA",yes,,2017-12-12,,0.177022,9,9,Erection of 10 dwellings following the demolition of 90 Paddock Street. Creation of new vehicular access. Alterations and extensions to front boundary wall.,local-authority-eng:ECA,not owned by a public authority,2015-12-23,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NP0504GG06800,permissioned,full planning permission,POINT(0.339674 52.332432),BLR2302,https://www.eastcambs.gov.uk/sites/default/files/BLR2302.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR2302
"Eastern Gateway, East Fen Common, Soham, Ely CB7 5JJ",yes,,2017-12-12,,1.333718,41,41,"The site forms part of a larger strategic site, allocated by the Local Plan for mixed-use development. The site boundary includes only the area considered to be brownfield land.",local-authority-eng:ECA,not owned by a public authority,,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OSCSVVGG0CS00,not permissioned,,POINT(0.351451 52.335557),BLR2303,https://www.eastcambs.gov.uk/sites/default/files/BLR2303.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR2303
"Station Rd, Soham, Ely CB7 5DZ",yes,,2017-12-12,,4.108821,90,90,The site is allocated by the Local Plan for mixed-use development.,local-authority-eng:ECA,not owned by a public authority,,,not permissioned,,POINT(0.328779 52.335552),BLR2304,https://www.eastcambs.gov.uk/sites/default/files/BLR2304.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR2304
