site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"The Old Wharf, Madeley Heath",,,2019-12-12,,0.85,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OZ7BMLI000,not permissioned,,POINT(-2.320532 53.008763),MD5,,2019-12-12,brownfield-land/local-authority-eng/NEC/MD5
"Moss House Fram, Bower End Lane, Madeley",,22/05/2019,2019-12-12,,0.19,,,14/00132/FUL - Conversion of 2 No. existing rural buildings to residential use (5 no. dwellings). Now comleted,local-authority-eng:NEC,not owned by a public authority,2014-09-15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001CERBMLI000,not permissioned,,POINT(-2.350651 52.999536),MD35,,2019-12-12,brownfield-land/local-authority-eng/NEC/MD35
"Land at Heathcote Street, Kidsgrove",yes,,2019-12-12,,0.32,,,17/00552/FUL - Demolition of existing building and erection of 14 dwellinghouses,local-authority-eng:NEC,not owned by a public authority,2017-11-10,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NZPFRLBM03Y00,permissioned,full planning permission,POINT(-2.238063 53.087762),RC1,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OSCVPKBMLB800,2017-12-18,brownfield-land/local-authority-eng/NEC/RC1
"Former Site Of Silverdale Station, Station Road, Silverdale",yes,22/05/2019,2019-12-12,,0.62,,,11/00284/FUL - Erection of twenty three houses. Now completed,local-authority-eng:NEC,not owned by a public authority,2013-02-18,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IIDP8KBMY3000,permissioned,full planning permission,POINT(-2.276091 53.016822),SP15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LLNJ0UBM4V000,2017-12-18,brownfield-land/local-authority-eng/NEC/SP15
"Former Pool Dam Pub Site, Orme Road, Poolfields, Newcastle",,,2019-12-12,,0.34,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,,not permissioned,,POINT(-2.243557 53.009562),TB6,,2018-12-11,brownfield-land/local-authority-eng/NEC/TB6
"Orme Road, (Orme Centre)",yes,,2019-12-12,,0.36,,,16/00796/OUT - Conversion of former Orme Centre into student accomodation,local-authority-eng:NEC,not owned by a public authority,2017-01-12,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PWKW2UBM03Y00,permissioned,full planning permission,POINT(-2.231677 53.008823),TB7,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODUO4UBMGWD00,2018-12-11,brownfield-land/local-authority-eng/NEC/TB7
"35 Higherland, Westlands",yes,,2019-12-12,,0.2,,,16/00405/REM - Erection of up to 12 dwellings,local-authority-eng:NEC,not owned by a public authority,2016-09-15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001MH7BMLI000,permissioned,full planning permission,POINT(-2.234791 53.007315),TB22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O72N0PBMJZ900,2017-12-18,brownfield-land/local-authority-eng/NEC/TB22
"Land bound by Ryecroft, Ryebank , Merrial Street, Corporation Street & Liverpool Road, Newcastle",,,2019-12-12,,1.91,,,17/00637/FUL - Demolition of existing buildings and construction of a mixed use development,local-authority-eng:NEC,owned by a public authority,,,pending decision,,POINT(-2.228141 53.013172),TC7,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OTPE9ZBMFYL00,2018-12-11,brownfield-land/local-authority-eng/NEC/TC7
Nelson Place (Jubilee Baths),yes,,2019-12-12,,0.19,,,17/00252/FUL - Demolition of former swimming baths and construction of 273 room student development,local-authority-eng:NEC,not owned by a public authority,2017-03-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PINKYRBM03Y03,permissioned,full planning permission,POINT(-2.223279 53.012437),TC14,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9XYRBMJG400,2018-12-11,brownfield-land/local-authority-eng/NEC/TC14
"London Rd, Newcastle (former Bristol St Motors)",yes,,2019-12-12,,1.4,,,16/01106/FUL - Redevelopment of the site for 499 apartments (comprising of student accomodation),local-authority-eng:NEC,not owned by a public authority,2017-10-30,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001GSKBMLI000,permissioned,full planning permission,POINT(-2.221949 53.005567),TC26,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OILIFRBMI6Y00,2017-12-18,brownfield-land/local-authority-eng/NEC/TC26
"Newcastle Baptist Church, London Road, Newcastle",yes,,2019-12-12,,0.09,,,14/00477/FUL - Demolition of former Newcastle Baptist Church and erection of residential apartment development containing 14 no. 2 bed units and 8 no. 1 bed units,local-authority-eng:NEC,not owned by a public authority,2015-10-26,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0013ILBMLI000,permissioned,full planning permission,POINT(-2.222629 53.007668),TC32,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N7MNLEBM4V000,2017-12-18,brownfield-land/local-authority-eng/NEC/TC32
"Marsh Parade, Newcastle-under-Lyme, Staffordshire",yes,,2019-12-12,,0.1,,,17/00179/FUL - Demolition of existing building and erection of a 4-storey apartment block with parking,local-authority-eng:NEC,not owned by a public authority,2017-06-23,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0013HJBMLI000,permissioned,full planning permission,POINT(-2.219376 53.011601),TC34,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OM4WXBBMHAI00,2017-12-18,brownfield-land/local-authority-eng/NEC/TC34
Former Savoy Cinema / Metropolis Nightclub Newcastle Under Lyme Staffordshire ST5 1QQ,yes,,2019-12-12,,0.09,,,17/00174/FUL - Demolition of the former Savoy Cinema/Metropolis Nighclub and erection of a 13 storey student accomodation building comprising 227 units,local-authority-eng:NEC,not owned by a public authority,2018-02-23,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JHRQQ6BMY3000,permissioned,full planning permission,POINT(-2.227635 53.010403),TC36,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OM35BKBMH7A00,2018-12-11,brownfield-land/local-authority-eng/NEC/TC36
"Car Park, Blackfriars Road, Newcastle",,,2019-12-12,,0.2,,,Site promoted by registered provider,local-authority-eng:NEC,owned by a public authority,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=ISKSZ0BMY3000,not permissioned,,POINT(-2.229828 53.008714),TC40,,2018-12-11,brownfield-land/local-authority-eng/NEC/TC40
"Ashfields Grange, Hall Street, Newcastle",,,2019-12-12,,0.92,,,19/00614/FUL - Demolition of existing buildings and the development of 89 supported living apartments,local-authority-eng:NEC,owned by a public authority,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=L2RH5ABM03Y00,pending decision,,POINT(-2.232094 53.014218),TC41,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PVX9XUBMGGK00,2019-12-12,brownfield-land/local-authority-eng/NEC/TC41
"Wedgwood Road, Kidsgrove",,,2019-12-12,,0.25,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O4YBMLI000,not permissioned,,POINT(-2.257074 53.073481),TK11,,2018-12-11,brownfield-land/local-authority-eng/NEC/TK11
"Former Talke Social Club, Coal Pit Hill, Talke",yes,,2019-12-12,,0.23,,,08/00014/FUL - Residential development for plots 4 and 5,local-authority-eng:NEC,not owned by a public authority,2008-02-29,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001NUCBMLI000,permissioned,full planning permission,POINT(-2.26215 53.077212),TK22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JUHD8XBM06500,2017-12-18,brownfield-land/local-authority-eng/NEC/TK22
"Priory Day Centre, Lymewood Grove, Newcastle",yes,,2019-12-12,,0.66,,,14/00284/FUL - Demolition of the redundant day car centre and the construction of 13 new single storey dwellings,local-authority-eng:NEC,not owned by a public authority,2014-08-29,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0013XJBMLI000,permissioned,full planning permission,POINT(-2.229897 53.006956),WL15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N4FSTHBM4V000,2017-12-18,brownfield-land/local-authority-eng/NEC/WL15
