site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Old Industrial Buildings, Salisbury Walk",,,2020-01-04,,0.67,20,20,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.43 50.71),LA/DORC/011,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-011
Wessex Water Site,,,2020-01-04,,1.34,30,30,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.45 50.71),LA/DORC/012,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-012
Kemps Country House Hotel,,,2020-01-04,,0.13,3,3,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.17 50.68),LA/ESTK/003,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-ESTK-003
Lloyds Bank,yes,,2020-01-04,,0.17,7,7,,local-authority-eng:DST,not owned by a public authority,2018-03-28,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.27 51.04),LA/GILL/017,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-GILL-017
Handley Cross Farm,yes,,2020-01-04,,0.64,14,14,,local-authority-eng:DST,not owned by a public authority,2017-07-17,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.36 50.88),LA/HAZE/009,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-HAZE-009
Martin Richards AG Eng Ltd,yes,,2020-01-04,,0.66,13,13,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.35 50.88),LA/HAZE/010,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-HAZE-010
The Old Mill,yes,,2020-01-04,,0.49,8,8,,local-authority-eng:DST,not owned by a public authority,2018-08-16,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.77 50.84),LA/MOST/005,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-MOST-005
Stone Lane Industrial Estate,,,2020-01-04,,1.94,62,62,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-1.99 50.81),LA/PAMP/002,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-PAMP-002
Stalbridge Barns,yes,,2020-01-04,,0.18,8,8,,local-authority-eng:DST,not owned by a public authority,2019-01-17,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.38 50.96),LA/STAL/007,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-STAL-007
"Former Creamery and Car Park, Station Road",yes,,2020-01-04,,0.76,40,40,,local-authority-eng:DST,mixed ownership,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.3 50.93),LA/SNEW/009,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-SNEW-009
