site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
146 and 146A Horninglow Street,,,2018-09-30,,0.04,5,5,Site included in the Housing Permissions previously but has since expired due to non commencement. Conversion of existing building to 2 self contained flats and the erection of 3 self contained flats,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.631208 52.807991),ESBC-BR25,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR25
The Appleby Burton,yes,,2018-09-30,,0.1,9,9,Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Demolition of part of existing public house to facilitate the conversion to form 6 self contained flats and erection of a detached building to form 3 self contained flats to rear,local-authority-eng:EST,not owned by a public authority,2015-01-14,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.631746 52.798697),ESBC-BR26,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR26
126 New Street Burton,yes,,2017-09-29,,0.14,7,7,"Site included in the Housing Permissions - Not yet commenced. Conversion of the first, second and third floors to form seven self contained apartments",local-authority-eng:EST,not owned by a public authority,2016-08-01,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.634981 52.801961),ESBC-BR27,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR27
Rear of 143 Horninglow Street,yes,,2018-09-30,,0.38,32,32,Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Conversion and alterations to the Plough Maltings to form 32 apartments,local-authority-eng:EST,not owned by a public authority,2016-12-08,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.631055 52.808494),ESBC-BR29,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR29
Rear of 38-54 Bridge Street,yes,,2018-09-30,,0.2,14,14,"Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Erection of 2 detached buildings to form 14 one-bedroomed apartments, including the formation of two new access and details of landscaping",local-authority-eng:EST,not owned by a public authority,2013-09-06,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.862094 52.897981),ESBC-BR30,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR30
Wellington Inn,,,2018-09-30,,0.15,5,5,Site included in the Housing Permissions previously but has since expired due to non commencement. Erection of four detached bungalows and one detached dwelling,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.865384 52.901482),ESBC-BR31,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR31
Uttoxeter Household Waste Site,yes,,2017-09-29,,1.45,49,49,Site included in the Housing Permissions - Not yet commenced. Erection of 49 dwellings,local-authority-eng:EST,not owned by a public authority,2016-02-25,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.86423 52.904465),ESBC-BR32,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR32
Tutbury Mill Mews,yes,,2018-09-30,,0.01,5,5,Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Conversion of existing first floor retail space and existing second/third floor apartment to form five self contained apartments,local-authority-eng:EST,not owned by a public authority,2014-07-07,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.684646 52.858764),ESBC-BR33,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR33
Howards Transport,yes,,2018-09-30,,2.56,86,86,Site included in the Housing Permissions - Not yet commenced (Reserved Mattes application for 84 units received 07/08/2018 - awaiting determination). Outline application for residential purposes (up to 86 dwellings),local-authority-eng:EST,not owned by a public authority,2016-11-29,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,outline planning permission,POINT(-1.665783 52.789143),ESBC-BR34,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR34
Proposed Residential Development Phase 1 Rose Cottage Gardens,,,2018-09-30,,0.09,5,5,Site included in the Housing Permissions previously but has since expired due to non commencement. Demolition of existing garages to facilitate the erection of 5 dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.637192 52.796475),ESBC-BR35,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR35
