site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land to rear of 1-15 The Broadway, Newbury",,,2017-10-17,,0.43,72,72,"Outline Application: Development of 72 Flats. Matters to be considered: Access, Appearance, Layout and Scale",local-authority-eng:WBK,not owned by a public authority,2014-11-13,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N0208ARD0HE00,permissioned,outline planning permission,POINT(-1.325756 51.405101),BR/2017/23,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N0208ARD0HE00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-23
"Land off Faraday Road and Kelvin Road, Newbury",,,2017-10-17,,1.3,160,160,"Renewal of Application 08/01255/OUTMAJ - Mixed use redevelopment comprising approximately 26,554sqm (gross external) of floor space providing offices (B1), retail (A1), Financial and Professional Services (A2), hotel (C1), restaurant (A3), hot food takeaways (A5) motor dealership and residential apartments (160 units including 48 affordable) together with 330 car parking spaces, new junction on to A339, site access and ancillary development",local-authority-eng:WBK,owned by a public authority,2016-02-01,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=M2F4YVRD0EA00,permissioned,outline planning permission,POINT(-1.316745 51.404896),BR/2017/24,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M2F4YVRD0EA00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-24
"Sterling Industrial Estate, Kings Road, Newbury, RG14 5RQ",yes,,2017-10-17,,0.96,167,167,"Application for full planning permission for the demolition of existing buildings and structures, site remediation and the erection of 167 apartments, a new link road, car parking and landscaping",local-authority-eng:WBK,not owned by a public authority,2015-03-31,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NJYMYWRD04Z00,permissioned,full planning permission,POINT(-1.314909 51.398851),BR/2017/25,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NJYMYWRD04Z00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-25
"Newbury Racecourse Plc East, Newbury",yes,,2017-10-17,,,708,708,"Approval of reserved matters following outline permission 09/00971/OUTMAJ. Construction of 708 dwellings, retail/community facilities, coach park, temporary marketing suite and associated works (Reserved matters) for area A Eastern development area. Matters seeking consent: appearance, landscaping, layout and scale",local-authority-eng:WBK,not owned by a public authority,2015-07-28,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NHEJ02RD0EF00,permissioned,reserved matters approval,POINT(-1.30703 51.397007),BR/2017/26,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHEJ02RD0EF00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-26
"Newbury Racecourse Plc Central, Newbury",yes,,2017-10-17,,,,,Demolition and construction of 366 dwellings with associated access and amenities (Reserved Matters) for Area 'B' - Central area of outline planning permission reference 09/00971/OUTMAJ,local-authority-eng:WBK,not owned by a public authority,2011-11-17,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LNSVWMRD02K00,permissioned,reserved matters approval,POINT(-1.30703 51.397007),BR/2017/27,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LNSVWMRD02K00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-27
"Market Street Redevelopment, Newbury, RG14 5DP",yes,,2017-10-17,,2.16,232,232,"Site clearance, demolition and the erection of 232 dwellings with associated car parking, residents' hub and management office; 816sqm of flexible commercial floor space (Class A1 (retail) / A2 (financial services)/A3 (restaurants and cafes) / A4 (drinking establishments) or B1 (offices)) and a multi-storey car park. Pedestrian access arrangements, hard and soft landscaping and other ancillary development/infrastructure",local-authority-eng:WBK,mixed ownership,2017-04-11,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O3NY9PRD0JA00,permissioned,full planning permission,POINT(-1.32337 51.398226),BR/2017/28,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3NY9PRD0JA00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-28
"London Road Industrial Estate, Newbury",,,2017-10-17,,0.3,,,"The site was assessed as 'potentially developable' within the Council's 2013 Strategic Land Availability Assessment. Within the adopted Housing Site Allocations Development Plan Document, it is noted that the redevelopment of the London Road Industrial Estate is a long term vision of the Council.. http://info.westberks.gov.uk/shlaa | http://info.westberks.gov.uk/hsa",local-authority-eng:WBK,owned by a public authority,,,,,POINT(-1.324645 51.406299),BR/2017/29,http://info.westberks.gov.uk/CHttpHandler.ashx?id=36401&p=0,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-29
"Land adjacent to Bath Road known as Elliott Hire, Padworth",yes,,2017-10-17,,0.42,18,18,"Approval of matters reserved following outline permission 15/02320/OUTMAJ- Matters to be considered: Appearance, Landscaping, Layout and Scale",local-authority-eng:WBK,not owned by a public authority,2017-08-11,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OIYCLVRD0IP00,permissioned,reserved matters approval,POINT(-1.125998 51.409339),BR/2017/30,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIYCLVRD0IP00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-30
"67A Reading Road, Pangbourne, Reading, RG8 7JD",yes,,2017-10-17,,0.13,8,8,"4 no. new-build flats as an extension to existing apartments that are to be refurbished, and works to improve an existing office to provide 4 no.apartments together with associated works including laying out of parking, gardens and amenities",local-authority-eng:WBK,not owned by a public authority,2016-07-29,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NXAPNARD0E700,permissioned,full planning permission,POINT(-1.081581 51.483433),BR/2017/31,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXAPNARD0E700,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-31
"72 Purley Rise, Purley on Thames",yes,,2017-10-17,,1.68,35,35,"The site is included as an allocation within the adopted Housing Site Allocations Development Plan Document (HSA DPD). Whilst the site is used mainly for open storage of caravans, there are two workshops which are permanent structures. The classification of the land as previously developed or greenfield will depend on the extent the curtilage of the permanent structures. It is unclear whether the land used for storage of caravans is within the curtilage of the workshops, and for that reason the site was classified and assessed as a mix of previously developed and greenfield in the Sustainability Appraisal of the HSA DPD. http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0",local-authority-eng:WBK,not owned by a public authority,,,not permissioned,,POINT(-1.060354 51.482708),BR/2017/32,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-32
"Lord Lyon, Stockcross, Newbury, RG20 8LL",yes,,2017-10-17,,0.13,9,9,"Proposed erection of ground and first floor side and rear extension: conversion of the extended premises to nine apartments (four with one bedroom, five with two bedrooms) following removal of the rear emergency staircase and first floor privacy screen",local-authority-eng:WBK,not owned by a public authority,2013-03-13,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OD6DM7RD0JH00,permissioned,full planning permission,POINT(-1.374667 51.41439),BR/2017/33,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OD6DM7RD0JH00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-33
"58 The Broadway, Thatcham, RG19 3HP",yes,,2017-10-17,,0.05,9,9,"Conversion of No. 58 The Broadway to three flats (retention of shop at ground floor), demolition and re-building of rear element. Four new build terraced houses and two flats on land to the rear. Nine new dwellings in total",local-authority-eng:WBK,not owned by a public authority,2014-04-29,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MV88STRD02N00,permissioned,full planning permission,POINT(-1.257123 51.403247),BR/2017/34,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MV88STRD02N00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-34
"1 The Broadway, Thatcham, RG19 3JA",yes,,2017-10-17,,0.07,10,10,"Demolition of existing building comprising of 1 no. two bedroom flat, offices and a industrial unit. Construction of 6 no. two bedroom flats, 5 no. one bedroom flats and a bike store",local-authority-eng:WBK,not owned by a public authority,2007-01-05,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=J6UZR5RDN8000,permissioned,full planning permission,POINT(-1.25717 51.403913),BR/2017/35,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=J6UZR5RDN8000,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-35
"Turnfields land rear of Regent, The Moors, Thatcham, RG19 4PR",,,2017-10-17,,0.1,13,13,"Approval of reserved matters from permission 05/02916/OUTMAJ, for the erection of 13no. apartments comprising 2no. 2-bed apartments and 11no. 1-bed apartments",local-authority-eng:WBK,not owned by a public authority,2007-07-23,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JGDKT1RDG4000,permissioned,reserved matters approval,POINT(-1.255835 51.402007),BR/2017/36,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JGDKT1RDG4000,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-36
"131, 133, 137, 139 & 141 Bath Road, Thatcham",yes,,2017-10-17,,0.2,30,30,Outline Application for development of 26 apartments and 7 houses. Matters to be considered Access: Layout and Scale,local-authority-eng:WBK,not owned by a public authority,2016-09-29,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NSX6JTRD09N00,permissioned,outline planning permission,POINT(-1.276783 51.405492),BR/2017/37,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSX6JTRD09N00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-37
"1-8 Clerewater Place, Lower Way, Thatcham, RG19 3RF",,,2017-10-17,,0.01,32,32,Change of use and conversion of unit 7 to provide 4 flats. Provision of cycle parking and bin refuse stores to serve Units 1-8,local-authority-eng:WBK,not owned by a public authority,2016-09-21,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OBCC6RRD0JA00,permissioned,full planning permission,POINT(-1.28297 51.40241),BR/2017/38,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OBCC6RRD0JA00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-38
"Kingsland Shopping Centre And Adjoining Land, Thatcham",,,2017-10-17,,2.1,46,46,Application to renew planning permission 07/00565/OUTMAJ - Outline application for the redevelopment of the Kingsland Shopping Centre and adjoining land,local-authority-eng:WBK,not owned by a public authority,2015-03-26,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=L20E7IRD09N00,permissioned,outline planning permission,POINT(-1.255983 51.402655),BR/2017/39,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L20E7IRD09N00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-39
"Former deport at Pound Lane, Thatcham, RG19 3SU",yes,,2017-10-17,,0.88,47,47,"Demolition of existing facilities, and the erection of 47 new dwellings, including internal access road",local-authority-eng:WBK,owned by a public authority,2017-07-21,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O0683QRD0HD00,permissioned,full planning permission,POINT(-1.282 51.402854),BR/2017/40,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O0683QRD0HD00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-40
"The Red Lion, 5 Church Street, Theale, Reading, RG7 5BU",yes,,2017-10-17,,0.08,8,8,"Change of use from Public House to residential use, demolition of the former skittle alley and outbuildings replaced with a new two storey side extension comprising of an additional 8 dwellings",local-authority-eng:WBK,not owned by a public authority,2016-06-21,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5BJ4CRD01V00,permissioned,full planning permission,POINT(-1.078174 51.436667),BR/2017/41,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5BJ4CRD01V00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-41
