site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"''7 Station Road, Chesham''",yes,,2017-12-08,,0.03,6,6,"Demolition of existing building and erection of new three storey building to provide six flats, associated car parking, bin store and security gates",local-authority-eng:CHN,not owned by a public authority,2016-07-28,,permissioned,full planning permission,POINT(-0.611356 51.705794),CD0420,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0420
"''132 High Street, Chesham, ''",yes,,2017-12-08,,0.01,5,5,Change of use of building from Offices (Use Class B1a) to create five residential units (Use Class C3) and alterations to rear,local-authority-eng:CHN,not owned by a public authority,2016-07-13,,permissioned,full planning permission,POINT(-0.611657 51.707337),CD0422,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0422
"''Apex House, 31 Chiltern Avenue, Amersham''",yes,,2017-12-08,,0.06,5,5,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from office (Use Class B1(a)) to five residential units (Use Class C3)",local-authority-eng:CHN,not owned by a public authority,2016-07-01,,permissioned,other,POINT(-0.602977 51.676903),CD0425,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0425
"''77 Woodside Road, Amersham''",yes,,2017-12-08,,0.17,24,24,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from Office (Use Class B1(a)) to twenty four residential units (Use Class C3)",local-authority-eng:CHN,not owned by a public authority,2016-12-01,,permissioned,other,POINT(-0.602432 51.677286),CD0426,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0426
"''The Rose and Crown Public House, 264 Waterside, Chesham''",yes,,2017-12-08,,0.05,6,6,"Part two storey, part first floor side extensions and alterations to facilitate the change of use of site from a public house to create six residential units, laying of hardstanding and the creation of a new vehicular access",local-authority-eng:CHN,not owned by a public authority,2015-11-04,,permissioned,full planning permission,POINT(-0.606922 51.699206),CD0427,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0427
"''135 Hivings Hill, Chesham''",yes,,2017-12-08,,0.25,9,7,"Redevelopment of site to provide 8 residential units within two buildings, altered vehicular access, car parking, bin and cycle stores and associated landscaping",local-authority-eng:CHN,not owned by a public authority,,,pending decision,,POINT(-0.619004 51.718122),CD0429,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0429
"''Car Park North of Chesham Station, Station Road''",,,2017-12-08,,0.38,25,13,Development proposals of the site should maintain existing levels of public and commuter parking as well as provide parking for any new development,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.610511 51.706034),CD0438,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0438
"''Chalfont and Latimer Station Car Park, Bedford Avenue''",,,2017-12-08,,2.34,80,40,Development proposals of the site should maintain existing levels of public and commuter parking as well as provide parking for any new development,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.562655 51.668692),CD0439,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0439
"''William Moulder Court, Chesham''",yes,,2017-12-08,,0.55,15,6,Any future development proposals should address any potential implications on residential parking and highways,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.612982 51.71763),CD0440,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0440
"''Land West of Mount Nugent, Chesham''",yes,,2017-12-08,,0.3,9,6,Any future development proposals should address any potential implications on residential parking and highways,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.62069 51.721797),CD0444,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0444
"''Land off Shelley Road, Chesham''",yes,,2017-12-08,,0.22,12,7,Any future development proposals should address any potential implications on residential parking and highways,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.616472 51.716305),CD0445,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0445
"''Land on the frontage of Great Missenden Railway Station, ''",yes,,2017-12-08,,0.53,20,10,Development proposals of the site should retain and enhance interchange facilities and the station forecourt. Possible access from the site could be provided to other nearby development opportunities.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.708765 51.703562),CD0448,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0448
"''Land at Ballinger Road, Ballinger Road''",,,2017-12-08,,0.9,6,5,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.683983 51.70905),CD0455,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0455
"''Woodlands Farm, The Vale''",yes,,2017-12-08,,1.86,20,10,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.61096 51.735989),CD0459,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0459
"''Tunfield Farm, Hog Lane''",yes,,2017-12-08,,0.83,8,6,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.602916 51.742737),CD0460,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0460
