site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"76 Bicester Road, Kidlington",yes,,2019-10-30,,0.09,6,6,,local-authority-eng:CHR,not owned by a public authority,2019-01-14,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.275392 51.817202),BLR48,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR48
"Land adjacent Braeside Rope Way, Hook Norton",yes,,2019-10-30,,0.25,3,3,,local-authority-eng:CHR,not owned by a public authority,2018-09-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.48022 51.993653),BLR49,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR49
"Brymbo Bungalows, Station Road, Hook Norton",yes,,2019-10-30,,0.49,-1,-1,,local-authority-eng:CHR,not owned by a public authority,2018-10-26,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.464677 52.002413),BLR50,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR50
"British Waterways Site, Langford Lane, Kidlington",yes,,2019-10-30,,0.4,10,10,,local-authority-eng:CHR,not owned by a public authority,2018-11-23,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.302192 51.830995),BLR51,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR51
"2 - 4 High Street, Kidlington",yes,,2019-10-30,,0.11,16,16,,local-authority-eng:CHR,not owned by a public authority,2018-07-12,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.289967 51.823054),BLR52,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR52
"Kings Two Wheel Centre 139 Oxford Road, Kidlington",yes,,2019-10-30,,0.11,10,10,,local-authority-eng:CHR,not owned by a public authority,2019-03-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.282287 51.817883),BLR53,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR53
"162 The Moors, Kidlington",yes,,2019-10-30,,0.07,5,5,,local-authority-eng:CHR,not owned by a public authority,2018-05-25,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.294444 51.829987),BLR54,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR54
"Winterlake Springwell Hill, Bletchingdon",yes,,2019-10-30,,0.58,0,0,,local-authority-eng:CHR,not owned by a public authority,2018-12-03,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.273384 51.865373),BLR55,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR55
"High Haven Farm, Hawthorn Hill, South Newington",yes,,2019-10-30,,0.95,0,0,,local-authority-eng:CHR,not owned by a public authority,2019-02-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.420586 51.985275),BLR56,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR56
"Former Garage Block to the rear of 63 To 65 Spencer Avenue, Yarnton",yes,,2019-10-30,,0.21,5,5,,local-authority-eng:CHR,not owned by a public authority,2018-12-20,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.311154 51.808525),BLR57,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR57
