site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Land South of Wilderness Leighs Road Little Waltham,yes,,2019-04-15,,0.13,,,,local-authority-eng:CHL,not owned by a public authority,2018-07-18,,permissioned,full planning permission,POINT(0.501948 51.790424),18/00712/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Croxtons Mill Blasford Hill Little Waltham Chelmsford,yes,,2019-04-15,,1.2,,,,local-authority-eng:CHL,not owned by a public authority,2017-11-03,,permissioned,full planning permission,POINT(0.47927 51.776192),17/01269/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at Handley Green Lane Margaretting Ingatestone,yes,,2019-04-15,,0.11,,,,local-authority-eng:CHL,not owned by a public authority,2019-02-28,,permissioned,full planning permission,POINT(0.399881 51.691669),18/01584/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
New Barn Hawk Hill Rettendon Wickford,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2019-03-22,,permissioned,full planning permission,POINT(0.567776 51.623375),18/01870/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Land South West of Willowbrook Coalhill Rettendon Chelmsford,yes,,2019-04-15,,0.1,,,,local-authority-eng:CHL,not owned by a public authority,2018-05-04,,permissioned,full planning permission,POINT(0.532997 51.650328),18/00369/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
96 Church End Lane Runwell Wickford,yes,,2019-04-15,,0.1,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-28,,permissioned,full planning permission,POINT(0.527638 51.6252),18/00947/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Smithfield Hawkswood Road Downham Billericay,yes,,2019-04-15,,0.41,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-10,,permissioned,full planning permission,POINT(0.499674 51.644019),18/00044/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
"Land at Nightingale Lodge, Brock Hill South Hanningfield",yes,,2019-04-15,,0.48,,,,local-authority-eng:CHL,not owned by a public authority,2018-10-12,,permissioned,full planning permission,POINT(0.507694 51.641618),18/01423/FUL,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2019-04-15
Water Pumping Station Castledon Road Downham,yes,,2019-04-15,,0.2,,,,local-authority-eng:CHL,not owned by a public authority,2017-05-19,,permissioned,full planning permission,POINT(0.503007 51.624496),17/00064/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Windmill Pasture Little Waltham Road Springfield Chelmsford,yes,,2019-04-15,,0.39,,,,local-authority-eng:CHL,not owned by a public authority,2018-11-16,,permissioned,full planning permission,POINT(0.486963 51.7645),18/00886/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
2 Kingsford Drive Springfield Chelmsford,yes,,2019-04-15,,0.04,,,,local-authority-eng:CHL,not owned by a public authority,2016-11-30,,permissioned,full planning permission,POINT(0.511198 51.738687),16/01433/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
