site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"279 Willingham Street, Grimsby",yes,,2019-11-06,,0.05,4,4,"Demolish existing garage and construct detached 3 storey building containing 6 flats (consisting of two no.1 bedroom units, two no.2 bedroom units and two no.3 bedroom units) with garage and storage on the ground floor. (Planning application reference DM/0360/18/FUL).",local-authority-eng:NEL,not owned by a public authority,2015-08-07,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=P8I0PCLJM3U00&activeTab=summary,permissioned,full planning permission,POINT(-0.077532 53.560075),BS0035,,2019-11-06,brownfield-land/local-authority-eng/NEL/BS0035
"Land at Norfolk Lane, Cleethorpes",yes,,2017-10-18,,0.09,5,5,Under construction (Planning application reference DM/0993/14/FUL).,local-authority-eng:NEL,not owned by a public authority,2014-11-20,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBSNQZLJ00M00,permissioned,full planning permission,POINT(-0.032105 53.563858),BS0037,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0037
"The Oak Tree, Norwich Avenue, Grimsby",yes,,2017-10-19,,0.26,9,9,Under construction (Planning application reference DM/0625/14/FUL).,local-authority-eng:NEL,not owned by a public authority,2014-10-07,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N70DDWLJ00K00,permissioned,full planning permission,POINT(-0.108031 53.55265),BS0038,,2017-10-19,brownfield-land/local-authority-eng/NEL/BS0038
"r/o 59 Cheapside, Waltham",yes,,2017-10-20,,0.17,3,3,Erect 3 dwellings (Planning application reference DM/0148/17/OUT).,local-authority-eng:NEL,not owned by a public authority,2017-04-28,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL5W9PLJIQY00,permissioned,outline planning permission,POINT(-0.097209 53.513229),BS0039,,2017-10-20,brownfield-land/local-authority-eng/NEL/BS0039
"r/o Helsenor Cheapside, Waltham",yes,,2018-10-22,,0.026,7,7,Under construction (Planning application reference DM/0607/17/FUL).,local-authority-eng:NEL,not owned by a public authority,2018-03-02,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=OS05LDLJGJA00&activeTab=summary,pending decision,reserved matters approval,POINT(-0.088333 53.503684),BS0045,,2018-10-22,brownfield-land/local-authority-eng/NEL/BS0045
"20 Yarra Road, Cleethorpes",yes,,2018-10-22,,0.14,5,3,Change of use from 5 flats to create 3 larger flats with various alterations and extensions including additional dormer windows to front and side and second floor extension to rear.,local-authority-eng:NEL,not owned by a public authority,2017-07-07,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=OMLX8HLJJX500&activeTab=summary,permissioned,full planning permission,POINT(-0.028153 53.558561),BS0046,,2018-10-22,brownfield-land/local-authority-eng/NEL/BS0046
"Wentworth House, Church Lane, Stallingborough",yes,,2018-10-22,,0.97,7,7,"Demolish existing outbuildings, erect 7 dwellings to include the installation of rooflights, garaging, landscaping, access road and turning area, bin store and the erection of garage to serve existing dwelling (Planning application reference DM/0001/17/FUL).",local-authority-eng:NEL,not owned by a public authority,2018-08-01,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=OJ7L0TLJH6C00&activeTab=summary,permissioned,full planning permission,POINT(-0.190482 53.586711),BS0047,,2018-10-22,brownfield-land/local-authority-eng/NEL/BS0047
"Land at Church Lane, Old Clee Grimsby",yes,,2018-10-22,,0.57,30,30,"Provision of 30 dwellings, a research & development office, three communal greenhouses with associated landscaping & access & drilling for geothermal heating including installation of temporary ancillary equipment",local-authority-eng:NEL,,2015-02-10,,not permissioned,other,POINT(-0.056254 53.556198),BS0049,,2018-10-22,brownfield-land/local-authority-eng/NEL/BS0049
"Rear of 110 Harold Street, Grimsby",yes,,2018-11-01,,0.09,8,8,Demolish existing commercial building. Erect 8 Dwellings (Planning permission reference DM/0470/17/OUT).,local-authority-eng:NEL,not owned by a public authority,2018-03-22,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPZWXCLJMMB00,permissioned,outline planning permission,POINT(-0.059073 53.567184),BS0052,,2018-11-01,brownfield-land/local-authority-eng/NEL/BS0052
"Land at Rear 184 Humberston Avenue, Humberston",yes,,2018-11-01,,1.25,30,30,"Reserved Matters application pursuant to DM/0973/14/OUT (Outline application for residential development for up to 30 dwellings, with all matters reserved (Amended Layout Plan dated July 2015)) to erect one dwelling on Plot 1 (Planing application reference DM/1026/17/REM).",local-authority-eng:NEL,not owned by a public authority,2017-09-06,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=OYQS9ILJLX200&activeTab=summary,permissioned,reserved matters approval,POINT(-0.033055 53.526125),BS0058,,2018-11-01,brownfield-land/local-authority-eng/NEL/BS0058
"46 & 50 Humberston Avenue, Humberston",yes,,2018-11-01,,0.24,3,3,"Erection of three dwellings to include garages, access and associated works (Planning application reference DM/0318/17/FUL).",local-authority-eng:NEL,not owned by a public authority,2017-09-21,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=ONKKENLJKOA00&activeTab=summary,permissioned,permission in principle,POINT(-0.049271 53.523873),BS0061,,2018-11-01,brownfield-land/local-authority-eng/NEL/BS0061
"Land adjacent to South Sea Lane Barns, Humberston",yes,,2018-11-01,,0.24,2,2,Erect 2 dwellings and car parking barn (Planning application reference DM/0280/19/CND).,local-authority-eng:NEL,not owned by a public authority,2018-03-29,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=PP15F9LJJWL00&activeTab=summary,permissioned,full planning permission,POINT(-0.023085 53.523488),BS0066,,2018-11-01,brownfield-land/local-authority-eng/NEL/BS0066
"Willows Centre, Barnmouth Drive, Grimsby",yes,,2018-11-01,,0.52,8,8,Change of use from residential care home to 7 houses and 1 flat (Planning application reference DM/1035/17/FUL).,local-authority-eng:NEL,not owned by a public authority,2018-03-16,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=OZ05SFLJM4P00&activeTab=summary,permissioned,other,POINT(-0.12747 53.56814),BS0067,,2018-11-01,brownfield-land/local-authority-eng/NEL/BS0067
"183-185 Cleethorpe Road, Grimsby",yes,,2019-11-06,,0.02,6,6,"Convert two existing ground floor retail units into three retails units with residential accommodation at first and second floor level including six self-contained flats, erect an extension at second floor to the side and rear and various external alterations (Planning application reference DM/0111/18/FUL).",local-authority-eng:NEL,not owned by a public authority,2018-04-18,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=P3HHNPLJI3700&activeTab=summary,permissioned,full planning permission,POINT(-0.068895 53.574679),BS0068,,2019-11-06,brownfield-land/local-authority-eng/NEL/BS0068
"138-140 Cleethorpe Road, Grimsby",yes,,2019-11-06,,0.01,5,5,Under construction (Planning application reference DM/0326/18/FUL).,local-authority-eng:NEL,not owned by a public authority,2018-08-15,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=P7QXY2LJLHX00&activeTab=summary,permissioned,full planning permission,POINT(-0.070651 53.57459),BS0069,,2019-11-06,brownfield-land/local-authority-eng/NEL/BS0069
"3 Hainton Avenue, Grimsby",yes,,2019-11-06,,0.02,5,5,Under construction (Planning application reference DM/0620/18/FUL).,local-authority-eng:NEL,not owned by a public authority,2018-09-17,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=PCBNXBLJHEN00&activeTab=summary,permissioned,full planning permission,POINT(-0.074534 53.566913),BS0070,,2019-11-06,brownfield-land/local-authority-eng/NEL/BS0070
"Eleanor House, Eleanor Street, Grimsby",yes,,2019-11-06,,0.09,9,9,Conversion/alterations to existing residential care home and extension to outbuilding to provide 9 self-contained flats with parking landscaping and associated works (Planning application reference DM/0791/19/FUL).,local-authority-eng:NEL,not owned by a public authority,2018-11-05,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=PX06TFLJIR600&activeTab=summary,permissioned,full planning permission,POINT(-0.071855 53.56704),BS0071,,2019-11-06,brownfield-land/local-authority-eng/NEL/BS0071
"Toll Bar Farm, Louth Road, New Waltham",yes,,2019-11-06,,0.29,6,6,Under construction (Planning application reference DM/0635/17/FUL).,local-authority-eng:NEL,not owned by a public authority,2018-12-07,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=OSD6C0LJGTX00&activeTab=summary,permissioned,full planning permission,POINT(-0.078011 53.524869),BS0072,,2019-11-06,brownfield-land/local-authority-eng/NEL/BS0072
