site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"53 Victoria Road, Old Town, Swindon, SN1 3AY",yes,2020-12-23,2020-12-23,,0.01,5,5,PP181923 - S/PRIORC/18/1149 | Prior notification application for the change of use from office (Class B1a) to 5no. flats (Class C3),local-authority-eng:SWD,not owned by a public authority,2018-08-22,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBLB5MPT0FL00,permissioned,permission in principle,POINT(-1.741264 51.565407),PP181923,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBLB5MPT0FL00,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181923
99-100 Victoria RoadOld TownSwindonSN1 3BE,yes,,2020-12-23,,0.27,31,31,PP181924 - S/PRIORC/18/0544 | Prior notification application for the change of use from office (Class B1) to 31no. dwellinghouses (Class C3).,local-authority-eng:SWD,not owned by a public authority,2018-05-24,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P6CW7SPT04V00,permissioned,permission in principle,POINT(-1.744905 51.550565),PP181924,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P6CW7SPT04V00,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181924
"Land north of Edison Road, Dorcan",yes,,2020-12-23,,1.67,,,s0006 - S/18/1906 | Change of use of land from former factory site (use class B1) to lorry park (sui generis).,local-authority-eng:SWD,not owned by a public authority,2019-04-10,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PINLXMPTKEW00,permissioned,full planning permission,POINT(-1.774146 51.548621),s0006,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PINLXMPTKEW00,2018-12-31,brownfield-land/local-authority-eng/SWD/s0006
"Oak House, Rivermead Drive, Swindon",yes,,2020-12-23,,2.52,0,0,s0024 - s0024 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.830491 51.5782),s0024,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0024
Nythe Complex,,,2020-12-23,,0.93,35,35,s0070 - s0070 | No Recent Planning History,local-authority-eng:SWD,owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.792698 51.568885),s0070,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0070
Land bounded by Netherton Close/ Cranemore Avenue/ Keswick Road,,,2020-12-23,,0.17,6,6,s0082 - s0082 | No Recent Planning History,local-authority-eng:SWD,mixed ownership,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.783934 51.559327),s0082,https://pa1.swindon.gov.uk/publicaccess/,2017-12-31,brownfield-land/local-authority-eng/SWD/s0082
"Coal Yard, Signal Way",yes,,2020-12-23,,0.03,1,1,s0090 - S/18/0971 | Erection of 1no. dwelling,local-authority-eng:SWD,owned by a public authority,2018-08-24,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P9WLL8PT04V00,permissioned,full planning permission,POINT(-1.787405 51.559517),s0090,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P9WLL8PT04V00,2017-12-31,brownfield-land/local-authority-eng/SWD/s0090
"Former youth Centre, Sparcells",yes,2020-12-23,2020-12-23,,0.21,6,6,s0093 - S/18/0460 | Erection of 6no residential dwellings,local-authority-eng:SWD,not owned by a public authority,2018-11-15,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5N5YBPTM3A00,permissioned,full planning permission,POINT(-1.727309 51.585659),s0093,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5N5YBPTM3A00,2018-12-31,brownfield-land/local-authority-eng/SWD/s0093
North Star (Former Clares Site and Oasis Leisure Centre),yes,,2020-12-23,,13.05,,,"s0099 - s0099 | Outline application for the erection of a leisure development of up to 160, 000 sq.m. To include the provision of an entertainment arena, indoor ski centre, cinema, hotel, retail, restaurants and cafes, access, parking and associated works. Application is ongoing. Ref. : S/OUT/15/0943",local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,permissioned,full planning permission,POINT(-1.790611 51.523084),s0099,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0099
Aspen House and Granville Street Car Park,yes,,2020-12-23,,1.27,0,0,s0100 - S/20/0284 | Erection of a hotel (Use Class C1) with ancillary restaurant.Ref. : S/OUT/17/0665,local-authority-eng:SWD,not owned by a public authority,2020-06-03,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=Q69LYKPTFR800,permissioned,full planning permission,POINT(-1.79276 51.525949),s0100,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=Q69LYKPTFR800,2017-12-31,brownfield-land/local-authority-eng/SWD/s0100
