site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Liden Local Centre,,,2020-12-23,,1.58,79,79,s0276 - s0276 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.8007 51.570475),s0276,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0276
Pipers Way Park and Ride,yes,,2020-12-23,,5.27,0,0,s0297 - s0297 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.821724 51.553401),s0297,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0297
Barnfield Road,yes,,2020-12-23,,0.75,0,0,"s0298 - s0298 | Erection of 4 no. (Class A1) non-food retail units. (ref S/08/0478) granted 18 Jul 2008, now lapsed.",local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.809628 51.577417),s0298,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0298
Northern Gateway,yes,,2020-12-23,,2.33,0,0,"S0308 - S/16/0505 | Erection of new retail facilities and provision of associated car parking, creation of a new vehicular and pedestrian accesses, a freestanding ATM, hard and soft landscaping and associated plant.",local-authority-eng:SWD,not owned by a public authority,2017-10-18,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O4A3PVPTHAF00,permissioned,full planning permission,POINT(-1.767875 51.585492),S0308,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O4A3PVPTHAF00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0308
"Petrol Filling Station, Rodbourne Road",yes,,2020-12-23,,0.33,0,0,S0311 - S/16/0977 | Erection of an ATM. (Retrospective).,local-authority-eng:SWD,not owned by a public authority,2016-07-21,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O81LH7PTHTB00,permissioned,other,POINT(-1.765075 51.576361),S0311,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O81LH7PTHTB00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0311
Toothill Village Centre,,,2020-12-23,,1.42,71,71,S0313 - S0313 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.786833 51.562033),S0313,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/S0313
Moredon Rec,yes,,2020-12-23,,2.66,60,60,S0314 - S0314 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.738608 51.602284),S0314,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/S0314
Stratton Education Centre,,,2020-12-23,,0.3,11,11,S0315 - S0315 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.770337 51.543159),S0315,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/S0315
"Contract House, Unit 5 Bramble Road Elgin Swindon SN2 8HB",yes,,2020-12-23,,0.39,,,S0318 - S/13/1537 | Outline application for the erection of buildings for B1(c) (Business - Light Industry) and/or B2 (General Industry) and/or B8 (Storage or Distribution) uses.,local-authority-eng:SWD,not owned by a public authority,2014-07-04,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MUV555PT0FL00,permissioned,full planning permission,POINT(-1.778972 51.557514),S0318,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MUV555PT0FL00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0318
"54 -55 Bridge Street, Swindon, SN1 1BL",yes,,2020-12-23,,0.03,6,6,"S0319 - S0319 | Retention of retail use on ground floor, change of use of 1st. & 2nd. floor from retail (Class A1) to 6 no. dwellings (Class C3), erection of 1st & 2nd floor rear extensions and associated works.",local-authority-eng:SWD,not owned by a public authority,2014-07-21,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MWO7F1PT0IN00,permissioned,full planning permission,POINT(-1.7892 51.55953),S0319,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MWO7F1PT0IN00,2017-12-31,brownfield-land/local-authority-eng/SWD/S0319
"Unit 4 Hunts Rise, Swindon SN3 4TW",yes,,2020-12-23,,0.53,10,10,S0322 - S/14/1283 | Erection of 10no. two storey industrial units and associated works.,local-authority-eng:SWD,not owned by a public authority,2015-04-01,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N9GTM0PT04V00,permissioned,full planning permission,POINT(-1.76055 51.571699),S0322,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N9GTM0PT04V00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0322
"Wakefield House, Pipers Way, Old Town Swindon SN3 1RE",yes,,2020-12-23,,0.66,34,34,S0326 - S/14/2137 | Demolition of existing energy centre and erection of a mixed use four storey building with a convenience retail store (Class A1) on the ground floor with 18no. apartments above and 16no. houses and associated works.,local-authority-eng:SWD,not owned by a public authority,2015-12-03,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NGVIFNPT97000,permissioned,full planning permission,POINT(-1.783513 51.558814),S0326,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NGVIFNPT97000,2017-12-31,brownfield-land/local-authority-eng/SWD/S0326
"22-23 Victoria Road, Old Town, Swindon SN1 3AW",yes,,2020-12-23,,0.04,6,6,"S0327 - S/15/0042 | Erection of a 4 storey building to provide 147sqm of retail floor space on the ground floor, 6 no. apartments on the floors above",local-authority-eng:SWD,not owned by a public authority,2015-03-04,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NI9IC7PT97000,permissioned,full planning permission,POINT(-1.72926 51.541561),S0327,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NI9IC7PT97000,2017-12-31,brownfield-land/local-authority-eng/SWD/S0327
"Former Milton Road Club, 25 Milton Road, Swindon SN1 5JA",yes,,2020-12-23,,0.03,10,10,S0328 - S/15/0133 | Change of use from working man's club (Class D2) to residential (Class C3) to provide 10no. self contained apartments,local-authority-eng:SWD,not owned by a public authority,2015-04-02,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NIXYXXPT97000,permissioned,full planning permission,POINT(-1.799906 51.569958),S0328,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NIXYXXPT97000,2017-12-31,brownfield-land/local-authority-eng/SWD/S0328
"Former Bampton Brothers, Stratton Road, Swindon",yes,,2020-12-23,,1.27,61,61,S0329 - S/OUT/15/0377 | Outline application for the erection of up to 61no. dwellings (means of access not reserved).,local-authority-eng:SWD,not owned by a public authority,2015-08-19,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NKU3OYPT97000,permissioned,outline planning permission,POINT(-1.780467 51.606184),S0329,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NKU3OYPT97000,2017-12-31,brownfield-land/local-authority-eng/SWD/S0329
"Anglia House, 115-118 Commercial Road, Swindon",yes,,2020-12-23,,0.01,14,14,S0330 - S/PRIORC/15/0748 | Prior Approval Notification for the change of use of 1st & 2nd floors from offices (Class B1) to 14no. apartments (Class C3) Prior Approval not required,local-authority-eng:SWD,not owned by a public authority,2015-08-26,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NNYZKTPT97000,permissioned,permission in principle,POINT(-1.753916 51.575334),S0330,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NNYZKTPT97000,2017-12-31,brownfield-land/local-authority-eng/SWD/S0330
"Kingsbridge House, Marlborough Road, Swindon",yes,2020-12-23,2020-12-23,,0.12,5,5,S0332 - S/15/0937 | Change of use from Guest House to 5 no. Flats,local-authority-eng:SWD,not owned by a public authority,2015-09-21,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NPO9LZPT0EE00,permissioned,full planning permission,POINT(-1.750887 51.568255),S0332,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NPO9LZPT0EE00,2017-12-31,brownfield-land/local-authority-eng/SWD/S0332
"16 Wembley Street, Rodbourne, Swindon SN2 1DN",yes,,2020-12-23,,0.11,6,6,S0337 - S/15/1342 | Erection of 6no. flats,local-authority-eng:SWD,not owned by a public authority,2017-01-17,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NSYM9ZPT97000,permissioned,full planning permission,POINT(-1.787394 51.563646),S0337,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NSYM9ZPT97000,2017-12-31,brownfield-land/local-authority-eng/SWD/S0337
"Lindseys Yard, Turnpike Road, Blunsdon, Swindon SN26 7AE",yes,,2020-12-23,,0.49,5,5,"S0338 - S/15/1352 | Demolition of existing warehouse and outbuildings, and erection of 5 no. residential dwellings",local-authority-eng:SWD,not owned by a public authority,2016-03-21,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NT0V85PT97000,permissioned,full planning permission,POINT(-1.786833 51.526238),S0338,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NT0V85PT97000,2017-12-31,brownfield-land/local-authority-eng/SWD/S0338
"Land Adjacent To New Inn, Swindon Road, Stratton St Margaret, Swindon SN3 4PN",yes,,2020-12-23,,0.16,6,6,"S0341 - S/16/1126 | Demolition of existing dwelling and erection of 6no. apartments and associated works, without compliance with conditions 3 - 10 from previous permission S/15/1839.",local-authority-eng:SWD,not owned by a public authority,2016-08-16,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O9A1IHPTI5200,permissioned,full planning permission,POINT(-1.783513 51.558814),S0341,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O9A1IHPTI5200,2017-12-31,brownfield-land/local-authority-eng/SWD/S0341
"WH Smith HQ, Greenbridge Road, Stratton St Margaret, Swindon",yes,,2020-12-23,,2.93,134,134,S0343 - S/OUT/15/2087 | Outline planning application for up to 134no. residential dwellings,local-authority-eng:SWD,not owned by a public authority,2017-02-07,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZI9O2PTFUR00,permissioned,outline planning permission,POINT(-1.758157 51.581743),S0343,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZI9O2PTFUR00,2017-12-31,brownfield-land/local-authority-eng/SWD/S0343
"Holbrook House, Sheppard Street, Swindon",yes,,2020-12-23,,0.01,58,58,S0344 - S/PRIORC/16/0015 | Prior Approval Notification for the change of use of ground floor and first to fourth floors from offices (class B1(a)) to residential use (class C3) (58no. flats),local-authority-eng:SWD,not owned by a public authority,2016-02-23,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O0HAO3PT0IN00,permissioned,permission in principle,POINT(-1.786995 51.562717),S0344,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O0HAO3PT0IN00,2017-12-31,brownfield-land/local-authority-eng/SWD/S0344
"The Ivy Hotel, Moormead Road, Wroughton, Swindon SN4 9BY",yes,2020-12-23,2020-12-23,,0.46,38,38,S0348 - S/16/0487 | Demolition of buildings on site and the construction of 38 no. residential units of Retirement Living accommodation,local-authority-eng:SWD,not owned by a public authority,2016-11-29,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O44JR4PTH9L00,permissioned,full planning permission,POINT(-1.76652 51.584777),S0348,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O44JR4PTH9L00,2017-12-31,brownfield-land/local-authority-eng/SWD/S0348
"Anglia House, 115-118 Commercial Road, Swindon SN1 5PL",yes,,2020-12-23,,0.06,5,5,S0350 - S/16/0960 | Erection of an additional storey to provide 5no. flats and associated works.,local-authority-eng:SWD,not owned by a public authority,2016-09-20,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O7RYB3PTHSE00,permissioned,full planning permission,POINT(-1.786784 51.605624),S0350,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O7RYB3PTHSE00,2017-12-31,brownfield-land/local-authority-eng/SWD/S0350
"Land At Radway Road, Stratton St Margaret, Swindon SN3 4ND",yes,,2020-12-23,,2.2,,,"S0352 - S/16/0990 | Erection of an industrial/warehouse unit (class B1(a), B2 and B8) with associated works.",local-authority-eng:SWD,not owned by a public authority,2016-09-05,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O8507LPT04V00,permissioned,full planning permission,POINT(-1.787313 51.601806),S0352,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O8507LPT04V00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0352
"18 - 24 Bridge Street & 16 - 17 Fleet Street, Swindon SN1 1BP",yes,,2020-12-23,,0.07,14,14,"S0358 - S/16/1679 | Demolition of 20 Bridge Street and 17 Fleet Street, erection of 4no. commercial units (Class A1 and A3) and 14no. residential apartments",local-authority-eng:SWD,not owned by a public authority,2017-02-03,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ODYK5WPTJ9R00,permissioned,full planning permission,POINT(-1.768977 51.584301),S0358,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ODYK5WPTJ9R00,2017-12-31,brownfield-land/local-authority-eng/SWD/S0358
The Limes,yes,,2020-12-23,,0.32,5,5,S0381 - S0381 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.783774 51.556066),S0381,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/S0381
North of Gateway North,yes,,2020-12-23,,5.16,,,"S0401 - S0401 | Part demolition and extension of existing building to provide new distribution warehouse accommodation including change of use (B8) and construction of new service yard, parking, access, landscaping and associated works.",local-authority-eng:SWD,not owned by a public authority,2010-01-11,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,permissioned,full planning permission,POINT(-1.782747 51.559009),S0401,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,2018-12-31,brownfield-land/local-authority-eng/SWD/S0401
South of Gateway North,yes,,2020-12-23,,2.34,,,"S0402 - S0402 | Part demolition and extension of existing building to provide new distribution warehouse accommodation including change of use (B8) and construction of new service yard, parking, access, landscaping and associated works.",local-authority-eng:SWD,not owned by a public authority,2010-01-11,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,permissioned,full planning permission,POINT(-1.700211 51.541934),S0402,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,2018-12-31,brownfield-land/local-authority-eng/SWD/S0402
The Wheatsheaf Public House 33-36 Dores Road Upper Stratton,yes,,2020-12-23,,0.23,8,8,S0413 - S/16/0768 | Demolition of the Wheatsheaf Public House and erection of 8no. dwellings,local-authority-eng:SWD,not owned by a public authority,2017-05-12,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O6E5ERPT0IN00,permissioned,full planning permission,POINT(-1.773606 51.55177),S0413,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O6E5ERPT0IN00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0413
Land To The Rear Of 27 Eastcott Hill,yes,2020-12-23,2020-12-23,,0.02,6,6,S0415 - S/17/0526 | Erection of 6no. flats,local-authority-eng:SWD,not owned by a public authority,2017-08-11,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9FPRPTLV800,permissioned,full planning permission,POINT(-1.808924 51.573069),S0415,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9FPRPTLV800,2018-12-31,brownfield-land/local-authority-eng/SWD/S0415
3 Temple Chambers Temple Street,yes,2020-12-23,2020-12-23,,0.01,5,5,"S0416 - S/17/1757 | Change of use of ground floor, second floor and roofspace to 5no. flats",local-authority-eng:SWD,not owned by a public authority,2017-12-11,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OY9VLNPT0IN00,permissioned,full planning permission,POINT(-1.787892 51.560375),S0416,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OY9VLNPT0IN00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0416
Southdown Nursing Home 17 Church Road Wanborough,yes,2020-12-23,2020-12-23,,0.17,8,8,S0418 - S/16/1968 | Change of use of former nursing home to 7 no. 2-bedroom flats,local-authority-eng:SWD,not owned by a public authority,2017-04-07,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OGMXKGPTJR700,permissioned,full planning permission,POINT(-1.786795 51.564983),S0418,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OGMXKGPTJR700,2018-12-31,brownfield-land/local-authority-eng/SWD/S0418
First Floor 17 - 21 High Street Old Town,yes,,2020-12-23,,0.03,6,6,S0420 - S/PRIORC/17/0931 | Prior notification application for the change of use from offices (Class B1a) to dwellings (Class C3) (6no. flats),local-authority-eng:SWD,not owned by a public authority,2017-08-11,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OQUZ4SPT04V00,permissioned,permission in principle,POINT(-1.752111 51.63734),S0420,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OQUZ4SPT04V00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0420
"Former Zarlink Factory, Darby Close, Swindon",yes,,2020-12-23,,1.17,35,35,"S0424 - S/11/0826 | Erection of 35 no. units to provide class B1 (Business) & class B8 (Storage & Distribution) use, together with trade counters (Resubmission).",local-authority-eng:SWD,not owned by a public authority,2011-08-25,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LMRSYQPT97000,permissioned,full planning permission,POINT(-1.773771 51.566369),S0424,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LMRSYQPT97000,2018-12-31,brownfield-land/local-authority-eng/SWD/S0424
"Brunel West Car Park and House of Fraser, Swindon",yes,,2020-12-23,,0.85,290,290,"S0430 - S/OUT/19/1566 | A Hybrid application for the demolition of 44-45 Canal Walk (Brunel Shopping Centre) and outline application for the construction of two multi-storey towers for mixed use (up to 290no. residential units) and a podium 1-3 storeys (Use Class A1-A5 and leisure uses) with associated landscaping, access (access, landscaping, layout and scale not reserved) and full application for the reconfiguration of the trucking deck including associated traffic controls.",local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZKSSTPTKCN00,pending decision,outline planning permission,POINT(-1.762652 51.519628),S0430,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZKSSTPTKCN00,2018-12-31,brownfield-land/local-authority-eng/SWD/S0430
Swindon Station Redevelopment,,,2020-12-23,,4.54,85,85,S0433 - S0433 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.69719 51.542342),S0433,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/S0433
"Manor Farm, Hannington",yes,,2020-12-23,,0.68,8,8,"S0434 - S/17/1114 | Demolition of buildings, and erection of 8no. dwellings and employment building (Use Class B1)",local-authority-eng:SWD,not owned by a public authority,2019-09-12,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSD5P4PTG6100,permissioned,full planning permission,POINT(-1.795758 51.558215),S0434,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSD5P4PTG6100,2018-12-31,brownfield-land/local-authority-eng/SWD/S0434
County Ground Depot,,,2020-12-23,,0.43,22,22,S0436 - S0436 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.773525 51.564582),S0436,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/S0436
"Burderop Park, Wroughton",yes,,2020-12-23,,12.6,77,77,"S0448 - S/17/0128 | Demolition of the pavilions, change of use of offices and ancillary buildings to 25no. apartments/dwellings, erection of 52no. dwellings, construction of new access and associated works.",local-authority-eng:SWD,not owned by a public authority,2018-04-27,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OK4H08PTKU200,permissioned,full planning permission,POINT(-1.760534 51.520652),S0448,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OK4H08PTKU200,2018-12-31,brownfield-land/local-authority-eng/SWD/S0448
"Croft Yard, Ham Road, Wanborough",yes,,2020-12-23,,0.32,9,9,S0458 - S0458 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.874632 51.539051),S0458,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/S0458
"The 12 Bar, 179 Westcott Place, Swindon",yes,2020-12-23,2020-12-23,,0.07,11,11,S0476 - S/13/0435 | Change of use of existing premises from Public House (A4) to part Retail (A1) and Residential (C3) to form 11no. units,local-authority-eng:SWD,not owned by a public authority,2013-09-06,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MKTQ8OPT97000,permissioned,full planning permission,POINT(-1.79555 51.55833),S0476,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MKTQ8OPT97000,2018-12-31,brownfield-land/local-authority-eng/SWD/S0476
