site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Watertower off Eaton Mews, Handbridge",,,2017-12-21,,0.328,7,7,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,HAP/0033,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"The Chase - Former Horse And Jockey, Chester Road, Helsby",yes,2019-12-01,2019-12-01,,0.32,14,14,"16/03313/FUL 14/03769/FUL 09/02434/FUL. Conversion and alteration of existing public house including demolitions and extensions to create 4 No dwellings, erection of 10 dwellings comprising of a mixture of 2 bed and 3 bed two storey dwellings, demolition of existing outbuilding including associated external works (resubmission 08-1603-FUM). (6x2 bed / 8x3bed market houses)-Under construction",local-authority-eng:CHW,not owned by a public authority,2015-11-12,,permissioned,full planning permission,HEL/0003,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"INEOS Compounds UK Limited, Chester Road, Helsby",yes,,2017-12-21,,1.878,69,69,13/02503/OUT 16/05566/REM. Demolition of existing buildings and structures and erection of up to 69 residential dwellings (use class C3) and associated access,local-authority-eng:CHW,not owned by a public authority,2017-03-16,,permissioned,reserved matters approval,HEL/0005(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"MERE'S EDGE (Phase 4) site of existing Helsby Community Sports Club, between chester Road and Hornsmill Brook, Heslby",,,2017-12-21,,1.596,120,120,"08/02901/OUM 14/04044/OUT. Outline application for the construction of 96 dwellings, with associated highway improvements and landscaping. 2014 application permitted December 2015 for 120 dwellings with open space, access and associated infrastructure (incl demolition of existing buildings). 30 additional units also reamaing in permission 08/02901/OUM",local-authority-eng:CHW,not owned by a public authority,2015-12-03,,permissioned,outline planning permission,HEL/0029(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land off West Street, Hoole, Chester",,,2018-12-30,,0.349,,,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,HOO/0015,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Hoole Road Enterprise Centre, Chester",,,2017-12-21,,0.706,32,32,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,HOO/0017,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land between Lightfoot Street/ Thomas Brassery Court / railway line, Hoole, Chester",,,2017-12-21,,0.404,18,18,Residential development,local-authority-eng:CHW,mixed ownership,,,not permissioned,,HOO/0018,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Former car sales garage and public house, Hoole Bridge, Hoole Road, Hoole, Chester",,,2017-12-21,,0.462,7,7,Residential development,local-authority-eng:CHW,mixed ownership,,,not permissioned,,HOO/0028,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"The Grange, 1 Hoole Road, Chester CH2 3NQ",yes,,2017-12-21,,0.089,6,6,"16/03189/FUL. Conversion of office space into 6no residential apartments, consisting of 2x2bed apartments and 4x1bed apartments, and conversion of Coach House into residential storage space.",local-authority-eng:CHW,not owned by a public authority,2016-10-21,,permissioned,full planning permission,HOO/0051,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Pipers Private Day Nursery, Alder Grove, Chester",,,2019-12-01,,0.142,6,6,18/02589/OUT. Demolition of building and erection of 6 dwellings,local-authority-eng:CHW,not owned by a public authority,2019-02-11,,permissioned,outline planning permission,HOO/0066,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2019-12-01
