site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Sandford Close 72 The Avenue BR3 5ES,yes,,2018-05-22,,0.18,8,8,,local-authority-eng:BRY,,2016-04-04,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O03WRVBTL0600,permissioned,full planning permission,POINT(-0.011397 51.410259),BLR36,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O03WRVBTL0600,
Beechers Court High Street BR3 1AQ,yes,,2018-05-22,,0.03,8,8,,local-authority-eng:BRY,,2017-05-26,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ON7E3RBTLQ100,permissioned,full planning permission,POINT(-0.027781 51.406795),BLR37,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON7E3RBTLQ100,
87a Bromley Road BR2 0AA,yes,,2018-05-22,,0.11,9,9,,local-authority-eng:BRY,,2016-07-15,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O6JBHFBTFJU00,permissioned,full planning permission,POINT(-0.004563 51.407706),BLR38,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O6JBHFBTFJU00,
28 Park Hill Road BR2 0LF,yes,,2018-05-22,,0.26,9,9,,local-authority-eng:BRY,,2016-06-23,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O15KL9BTL9H00,permissioned,outline planning permission,POINT(-0.000754 51.405024),BLR39,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O15KL9BTL9H00,
Beck House 36a Copers Cope Road BR3 1NH,yes,,2018-05-22,,0.25,14,14,,local-authority-eng:BRY,,2016-07-15,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O6N0NPBTFL000,permissioned,full planning permission,POINT(-0.031437 51.413403),BLR40,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O6N0NPBTFL000,
Conifer House Southend Road BR3 1SL,yes,,2018-05-22,,0.15,18,18,,local-authority-eng:BRY,,2016-07-17,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O6QPYZBTFNB00,permissioned,full planning permission,POINT(-0.023018 51.417884),BLR41,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O6QPYZBTFNB00,
Land At Former Grays Farm Production Village Grays Farm Road BR5 3AD,yes,,2018-05-22,,0.17,14,14,,local-authority-eng:BRY,,2017-04-18,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFWFF6BTIY800,permissioned,full planning permission,POINT(0.111093 51.407802),BLR42,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OFWFF6BTIY800,
122 Anerley Road SE20 8DL,yes,,2018-05-22,,0.036,7,7,,local-authority-eng:BRY,,2016-04-21,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OS6XYSBTG1D00,permissioned,full planning permission,POINT(-0.071641 51.415222),BLR43,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS6XYSBTG1D00,
69-71 Church Road SE19 2TA,yes,,2018-05-22,,0.09,7,7,,local-authority-eng:BRY,,2016-10-17,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O44CTMBTMF800,permissioned,full planning permission,POINT(-0.080407 51.417795),BLR44,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O44CTMBTMF800,
130 Croydon Road SE20 7YZ-,yes,,2018-05-22,,0.071,8,8,,local-authority-eng:BRY,,2017-05-12,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGO7FUBTJ8600,permissioned,full planning permission,POINT(-0.061724 51.407927),BLR45,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGO7FUBTJ8600,
Crystal Palace Park Crystal Palace Park Road Thicket Road Crystal Palace Parade Anerley Hill SE20 8DT,yes,,2018-05-22,,1.973,180,180,,local-authority-eng:BRY,owned by a public authority,2010-12-14,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JQVGS3BT0G200,permissioned,other,POINT(-0.06736 51.420916),BLR46,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JQVGS3BT0G200,
Warren Farm Berrys Green Road TN16 3AJ,yes,,2018-05-22,,0.74,,,,local-authority-eng:BRY,,2016-08-01,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O610Z9BT0PH00,permissioned,outline planning permission,POINT(0.061381 51.311077),BLR47,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O610Z9BT0PH00,
39 Oregon Square BR6 8NH,yes,,2018-05-22,,0.267,8,8,,local-authority-eng:BRY,,,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2DNMHBT0HX00,permissioned,,POINT(0.07819 51.374416),BLR48,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O2DNMHBT0HX00,
Lubbock House 1 Northolme Rise BR6 9RF,yes,,2018-05-22,,0.137,-21,-21,,local-authority-eng:BRY,,,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFN3D9BTIVJ00,permissioned,,POINT(0.084993 51.370122),BLR49,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OFN3D9BTIVJ00,
All Saints Catholic School Layhams Road West Wickham BR4 9HN,yes,,2018-05-22,,2.3,48,48,,local-authority-eng:BRY,,2015-03-19,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MW36AFBTJX000,permissioned,full planning permission,POINT(-0.006107 51.364217),BLR50,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MW36AFBTJX000,
Eden Parade Eden Road BR3 4AU,yes,,2018-05-22,,0.051,5,5,,local-authority-eng:BRY,,2017-07-12,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONTJCSBTLZL00,permissioned,full planning permission,POINT(-0.045328 51.398239),BLR51,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONTJCSBTLZL00,
Jacanda Lodge North Drive BR3 3XQ,yes,,2018-05-22,,0.088,7,7,,local-authority-eng:BRY,,2016-10-10,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O467GHBTMFL00,permissioned,full planning permission,POINT(-0.017906 51.398418),BLR52,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O467GHBTMFL00,
First Floor 155-159 High Street Orpington BR6 0LN,yes,,2018-05-22,,0.1,9,9,,local-authority-eng:BRY,not owned by a public authority,2015-09-03,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NN712EBTGLI00,permissioned,full planning permission,POINT(0.100943 51.377391),BLR53,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN712EBTGLI00,
Heatherwood 33 Station Road BR6 0RZ,yes,,2018-05-22,,0.06,6,6,,local-authority-eng:BRY,,2016-10-04,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O66CPTBTN4W00,permissioned,full planning permission,POINT(0.093659 51.372081),BLR54,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O66CPTBTN4W00,
First Floor 50-52 The Walnuts BR6 0TW,yes,,2018-05-22,,0.041,9,9,,local-authority-eng:BRY,,2017-05-12,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OC1GN7BTHL800,permissioned,full planning permission,POINT(0.100529 51.376841),BLR55,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OC1GN7BTHL800,
19 Howard Road SE20 8HQ,yes,,2018-05-22,,0.06,5,5,,local-authority-eng:BRY,,2015-04-30,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKODC3BTFS300,permissioned,full planning permission,POINT(-0.055309 51.412039),BLR56,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NKODC3BTFS300,
112 Beckenham Road BR3 4RH,yes,,2018-05-22,,0.03,5,5,,local-authority-eng:BRY,,2016-11-09,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCAY9NBTHPI00,permissioned,outline planning permission,POINT(-0.04276 51.409582),BLR57,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCAY9NBTHPI00,
Hollywood East 1 Station Road SE20 7BE,yes,,2018-05-22,,0.023,5,5,,local-authority-eng:BRY,,2017-02-20,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OHP8V6BTJM700,permissioned,full planning permission,POINT(-0.055585 51.419453),BLR58,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OHP8V6BTJM700,
2 Crampton Road SE20 7AT,yes,,2018-05-22,,0.073,6,6,,local-authority-eng:BRY,,2017-01-12,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O1NGT0BTLFL00,permissioned,full planning permission,POINT(-0.058908 51.418079),BLR59,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O1NGT0BTLFL00,
8 Rodway Road BR1 3JL,yes,,2018-05-22,,0.069,5,5,,local-authority-eng:BRY,,2017-02-06,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG3U4HBTJ1C00,permissioned,full planning permission,POINT(0.021007 51.41073),BLR60,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OG3U4HBTJ1C00,
87 Oak Tree Gardens BR1 5BE,yes,,2018-05-22,,0.25,6,6,,local-authority-eng:BRY,,2017-05-12,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMJBG6BTLFN00,permissioned,full planning permission,POINT(0.026505 51.425779),BLR61,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OMJBG6BTLFN00,
