site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Land Adjoining 329 Chesterfield Road Sheffield S8 0RU,yes,,2017-12-12,,0.04,6,6,Estimated to comprise of 6 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-12-07,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEVW8BNYGV700,permissioned,full planning permission,S02793,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Site Of Wincobank Wash House Merton Lane Sheffield S9 1NB,yes,,2017-12-12,,0.08,6,6,Estimated to comprise of 6 Houses,local-authority-eng:SHF,not owned by a public authority,2017-04-24,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIIWSSNYL6F00,permissioned,full planning permission,S02747,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
377-381 South Road Walkley Sheffield S6 3TD,yes,,2017-12-12,,0.04,5,5,Estimated to comprise of 5 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-04-14,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2FO55NYFY000,permissioned,full planning permission,S03281,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
10 Roman Ridge Road Sheffield S9 1GD,yes,,2017-12-12,,0.05,5,5,Estimated to comprise of 5 Apartments,local-authority-eng:SHF,not owned by a public authority,2015-08-10,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQC9B5NY0JI00,permissioned,full planning permission,S02739,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
130 - 142 Langsett Road Sheffield S6 2UB,yes,,2017-12-12,,0.08,14,14,Estimated to comprise of 1 Houses and 13 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2016-11-24,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9HOKSNYI8W00,permissioned,full planning permission,S03358,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Car Park, Eyre Lane, Sheffield S1 4RB (on Furnival Square roundabout)",,,2017-12-12,,0.11,137,137,Estimated to comprise of 137 Student Clusters,local-authority-eng:SHF,,2017-11-27,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OV75YYNYMEN00,permissioned,full planning permission,S02745,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Mosborough Fire Station Queen Street Mosborough Sheffield S20 5BQ,yes,,2017-12-12,,0.21,10,10,Estimated to comprise of 10 Houses,local-authority-eng:SHF,not owned by a public authority,2016-12-19,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODLIQ8NYMPQ00,permissioned,full planning permission,S03372,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
A4e Queens House 105 Queen Street City Centre Sheffield S1 1GN,,,2017-12-12,,0.16,98,98,Estimated to comprise of 98 Apartments,local-authority-eng:SHF,not owned by a public authority,2017-04-19,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLOIAKNY0LV00,permissioned,full planning permission,S03412,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
UFI Limited 1 Young Street Sheffield S1 4UP,,,2017-12-12,,0.19,44,44,Estimated to comprise of 44 Apartments,local-authority-eng:SHF,not owned by a public authority,2017-04-10,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLBB8VNY0LV00,permissioned,full planning permission,S03411,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
92 - 98 Queen Street City Centre Sheffield S1 2DW,,,2017-12-12,,0.04,19,19,Estimated to comprise of 19 Apartments,local-authority-eng:SHF,not owned by a public authority,2017-04-12,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL5XX1NY0K100,permissioned,full planning permission,S03410,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Blocks I And J Fenton House 51 Wellington Street Sheffield S1 4HL,yes,,2017-12-12,,0,7,7,Estimated to comprise of 0 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2017-03-15,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKDVY1NYFKV00,permissioned,full planning permission,S03405,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
282 Glossop Road Sheffield S10 2HS,yes,,2017-12-12,,0,5,5,Estimated to comprise of 0 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2017-06-30,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPMNRINY0JI00,permissioned,full planning permission,S03397,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Clamark House 55 - 65 Stalker Lees Road Sheffield S11 8NP,yes,,2017-12-12,,0.17,14,14,Estimated to comprise of 8 Apartments and 6 Houses,local-authority-eng:SHF,not owned by a public authority,2017-02-27,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGQEO9NYJ0Z00,permissioned,full planning permission,S03390,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
K.P. Plumbing And Heating Supplies 223 - 225 Abbeydale Road Sheffield S7 1FJ,yes,,2017-12-12,,0,5,5,Estimated to comprise of 5 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-09-27,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAD0BMNYJ9600,permissioned,full planning permission,S03341,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
40-50 Castle Square Sheffield S1 2GF,yes,,2017-12-12,,0.09,34,34,Estimated to comprise of 34 Apartments,local-authority-eng:SHF,not owned by a public authority,2017-10-20,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OS95O1NY0M700,permissioned,full planning permission,S03383,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Blackstock Day Centre 33 Blackstock Road Sheffield S14 1AB,yes,,2017-12-12,,0.02,6,6,Estimated to comprise of 6 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-04-28,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3IY4FNYFY000,permissioned,full planning permission,S03285,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
245 Ecclesall Road Sheffield S11 8JE,yes,,2017-12-12,,0.46,184,184,Estimated to comprise of 144 Apartments and 40 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2016-11-02,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OC1I3XNYKWZ00,permissioned,full planning permission,S03362,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Places For People Offices Scargill Croft Sheffield S1 2DN,yes,,2017-12-12,,0.06,8,8,Estimated to comprise of 8 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-10-06,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OB8IJ7NY0JI00,permissioned,full planning permission,S03352,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Land Adjacent 240 Springvale Road Sheffield S10 1LH,yes,,2017-12-12,,0.06,12,12,Estimated to comprise of 12 Apartments,local-authority-eng:SHF,not owned by a public authority,2015-08-19,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NI9O1CNYFY000,permissioned,full planning permission,S02732,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Ball Inn Myrtle Road Sheffield S2 3HR,,,2017-12-12,,0.2,14,14,Estimated to comprise of 14 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-08-26,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O4FI71NYFY000,permissioned,full planning permission,S03325,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
97 - 101 Queen Street City Centre Sheffield S1 2DU,yes,,2017-12-12,,0.03,8,8,Estimated to comprise of 0 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2017-04-04,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKY46VNY0JI00,permissioned,full planning permission,S03293,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
93 Queen Street City Centre Sheffield S1 1WF,yes,,2017-12-12,,0.01,6,6,Estimated to comprise of 0 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2017-04-05,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKY3GANY0JI00,permissioned,full planning permission,S03292,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
