site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"The Belvedere, Hardings Elms Road, Crays Hill CM11 2UH",yes,,2019-08-12,,1.64,23,23,"Planning permission granted. Works have not commenced. Permission expires 11/02/2022. Only to be removed once expired or completed. Deliverable within 2 years. 12/08/19.. Demolition of existing buildings and removal of hard-standing and redevelopment to provide 23 new dwellings, enhanced landscaping and green open space and associated infrastructure.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2019-02-11,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0080,https://www.basildon.gov.uk/media/9728/BLR/pdf/BLR.pdf,2019-08-12
"107 Laindon Road, Billericay CM12 9LG",yes,,2019-08-12,,0.34,32,32,"Planning permission granted. Works have commenced. To be removed once completed. Deliverable within 2 years. 12/08/19.. Demolition of existing house and construction of a new building to provide 32 no. 1 and 2 bedroom sheltered retirement apartments with parking, bin/buggy storage, communal space, access and landscaping.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2018-06-01,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0081,https://www.basildon.gov.uk/media/9729/BLR/pdf/BLR.pdf,2019-08-12
"18 High Street, Wickford SS12 9AF",yes,,2019-08-12,,0.12,18,18,"Planning permission granted. Works have not commenced. Permission expires 20/09/2021. Only to be removed once expired or completed. Deliverable within 2 years. 12/08/19.. Change of use of part ground floor of 18 High Street from Class A2 (financial and professional services), part ground floor and first floor from Class B1(a) (Office), and ancillary storage space Class A1 (shop) on the first floor, to Class C3 (dwellinghouses), together with the development of a two-storey roof extension to create a total of 18 apartments, with associated cycle and refuse storage and a communal garden at 18-22 High Street, Wickford.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2018-09-20,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0082,https://www.basildon.gov.uk/media/9730/BLR/pdf/BLR.pdf,2019-08-12
"Phoenix Place, Christopher Martin Road, Basildon SS14 3GQ",yes,,2019-08-12,,0.07,27,27,Prior Approval Granted. Works have not commenced. Permission expires 01/09/2022. Only to be removed once expired or completed. Deliverable within 2 years. 12/08/19.. Notification for prior approval under Class O of part 3 of schedule 2 of The Town and Country Planning (General Permitted Development) England Order 2015 (as amended) for a proposed change of use of a building from Office Use (Class B1(a)) to a Residential Use (Class C3) comprising 27 residential units. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,local-authority-eng:BAI,not owned by a public authority,2017-07-01,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,BAS0083,https://www.basildon.gov.uk/media/9731/BLR/pdf/BLR.pdf,2019-08-12
"Rylands Hostel, Nevendon Road, Wickford SS12 9AT",yes,,2019-08-12,,0.18,30,30,"Planning permission granted. Works have commenced. Only to be removed once completed. Deliverable within 2 years. 12/08/19.. Demolition of existing hostel and associated buildings and construction of a residential development comprising 2 no. four storey buildings consisting of one block with undercroft ground level parking and 3 no. residential storeys above, and one block consisting of residential and commercial space at ground level and 3 no. residential storeys above. The development would create 30 residential units comprising 9 no. 1 bedroom units and 21 no. 2 bedroom units, together with Class A1/A2/B1 commercial space, amenity space, parking and associated works.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2018-04-11,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0084,https://www.basildon.gov.uk/media/9732/BLR/pdf/BLR.pdf,2019-08-12
"Hawkley House, 24 - 26 Chapel Street, Billericay CM12 9LU",yes,,2019-08-12,,0.05,7,7,"Prior Approval granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 12/08/19.. Notification for Prior Approval for a change of use of a building from office use (Class B1 (a)) to a dwellinghouse (Class C3) in accordance with the Town and Country Planning (General Permitted Development) Order 2015 Schedule 2, Part 3, Class O to create 7 residential units.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2018-12-19,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,BAS0085,https://www.basildon.gov.uk/media/9733/BLR/pdf/BLR.pdf,2019-08-12
"Church Walk House, Church Walk, Basildon SS14 1EH",yes,,2019-08-21,,0.11,29,26,Deliverable within 5 years. 21/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0086,https://www.basildon.gov.uk/media/9734/BLR/pdf/BLR.pdf,2019-08-21
"Land South of London Road, Billericay",,,2019-08-21,,0.99,28,28,Site area from HELAA reduced to Brownfield land only. Deliverable within 8 years. 21/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0087,https://www.basildon.gov.uk/media/9735/BLR/pdf/BLR.pdf,2019-08-21
"Billericay Lawn Tennis Club, Blunts Wall Road, Billericay CM12 9SA",,,2019-08-21,,0.82,23,23,Site area from HELAA reduced to Brownfield land only. Deliverable within 8 years. 21/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0088,https://www.basildon.gov.uk/media/9736/BLR/pdf/BLR.pdf,2019-08-21
"Valerie Lodge, High Road, Basildon SS16 4TG",yes,,2019-08-22,,0.08,10,10,"Planning permission granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 22/08/19.. Construction of three storey block containing 10no. flats (3no x 2 bed flats and 7no x 1 bed flats), associated works and off street parking provision.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,owned by a public authority,2019-03-27,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0089,https://www.basildon.gov.uk/media/9737/BLR/pdf/BLR.pdf,2019-08-22
