site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
117 Dunfield Road,yes,,2017-11-30,,0.04,7,7,"16/99506 for residential development including 4 x one bedroom, 3 x two bedroom and 1 x three bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,2017-05-19,,permissioned,full planning permission,BL002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Kenton Court, 132 Adamsrill Road",yes,,2018-10-22,,0.2,25,25,"17/103961 for residential development including 5 x one bedroom, 15 x two bedroom, 4 x three bedroom and 1 x four bedroom self contained flats",local-authority-eng:LEW,owned by a public authority,2017-12-20,,permissioned,full planning permission,BL003,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
"Home Park Housing Office, 129 Winchfield Road",yes,,2018-10-22,,0.24,31,31,"18/106485 for mixed use development including 8 x one bedroom, 16 x two bedroom, 7 x three bedroomed self-contained flats",local-authority-eng:LEW,mixed ownership,2018-08-20,,permissioned,full planning permission,BL004,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
"302-308, 310-312 New Cross Road",yes,,2017-11-30,,0.09,11,11,15/93085 for mixed use development including 16 x studio flats and 2 x one bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2015-12-09,,permissioned,full planning permission,BR001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
1 Brockley Cross,yes,,2017-11-30,,0.02,5,5,17/100503 for residential development including 3 x one bedroom and 2 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2017-05-22,,permissioned,full planning permission,BR003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
97 - 103 Florence Road,,,2018-10-22,,0.09,9,9,"Lapsed 09/73121 for residential development including 1 x three bedroom, 2 x two bedroom and 6 x one bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,BR004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Land adjoining 196 Brockley Road,,,2018-10-22,,0.02,5,5,Lapsed 11/77443 for residential development including 2 x one bedroom and 2 x two bedroom self-contained flats and 1 x two bedroom self-contained maisonette,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,BR005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
111 and 115 Endwell Road,,,2018-10-22,,0.43,40,40,Site Allocation SA30 for mixed use development including 40 residential units,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,BR006,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
33 - 39 Beadnell Road,yes,,2017-11-30,,0.09,9,9,"15/091375 for mixed use development including 4 x three bedroom two storey houses, 1 x three bedroom maisonette, 1 x three bedroom flat, 1 x two bedroom flat and 2 x three bedroom live/work unit",local-authority-eng:LEW,not owned by a public authority,2015-09-17,,permissioned,full planning permission,CP002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
437-439 Brockley Road,yes,,2017-11-30,,0.05,7,7,14/088077 for mixed use development including 2 x three bedroom houses and 4 x one bedroom and 3 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2015-01-09,,permissioned,full planning permission,CP003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
219 Stanstead Road,yes,,2018-10-22,,0.05,11,11,16/097266 Prior Approval for residential development including 5 x one bedroom self-contained flats and 18/106769 for residential development including 2 x one bedroom and 4 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2018-08-31,,permissioned,full planning permission,CP004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
113 Bovill Road,yes,,2017-11-30,,0.07,5,5,16/097411 for residential development including 5 x four bedroom houses,local-authority-eng:LEW,not owned by a public authority,2016-09-12,,permissioned,full planning permission,CP005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
58-64 Brockley Rise,,,2018-10-22,,0.05,5,5,Lapsed 11/78739 for residential development including 7 x two bedroom and 2 x one bedroom self-contained units,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,CP006,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
