site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Doxford Park Phase 6,yes,,2018-11-30,,3.99,100,100,Part of South Sunderland Growth Area masterplan and draft SPD. Permitted application: 18/00438/FUL for 100,local-authority-eng:SND,not owned by a public authority,2019-06-13,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,504,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Council Yard, North St, Silksworth",yes,2019-11-30,2018-11-30,,0.14,6,3,Permitted application ref. 11/01908/FUL - under construction,local-authority-eng:SND,mixed ownership,2011-11-01,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,531,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Land at Redcar Road/Rawdon Rd,yes,2019-11-30,2018-11-30,,0.28,10,10,"Pre-application enquiry ref. 10/00104/ENQ - proposed 8 bungalows and a core house, development acceptable in principle. Development Brief prepared",local-authority-eng:SND,owned by a public authority,2018-02-27,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,537,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Hylton Skills campus, north Hylton Road",yes,,2018-11-30,,3.55,105,90,"Planning application ref. 19/01427/FUL - Demolition of redundant former college buildings and construction of 105 dwellings and associated infrastructure, boundaries and landscaping.",local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,pending decision,,563,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Pheonix Tower Business Park, Castletown Way",yes,,2019-11-30,,3.98,118,118,"Permitted application ref. 18/00823/REM - Reserved matters to previously approved outline application 14/00292/OUT - Approval sought for appearance, landscaping, layout and scale (for 118 dwellings). (Amended Description)",local-authority-eng:SND,not owned by a public authority,2018-10-31,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,565,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Fulwell Fire Station, Station Road",,,2018-11-30,,0.27,25,23,,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,568,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
Galen Building,,,2018-11-30,,0.21,128,115,,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,655,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Sunniside Central Area, Villiers Street",,,2018-11-30,,1.21,20,18,Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,659,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
63 Fawcett Street,yes,,2018-11-30,,0.02,7,7,,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,660,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
12 Fawcett Street,yes,2019-11-30,2018-11-30,,0.02,5,5,Permitted application ref. 14/01962/FUL and 16/00357/FUL. Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2016-04-25,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,661,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
255 High Street West,,,2018-11-30,,0.04,9,9,Permitted application ref. 18/00531/FUL. Part of Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2018-10-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,665,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
South Hylton House,,,2018-11-30,,2.53,55,50,,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,678,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Hylton Castle Library, Cranleigh Road",yes,2019-11-30,2018-11-30,,0.18,9,9,Permitted application ref. 17/00427/FU4,local-authority-eng:SND,not owned by a public authority,2017-04-26,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,687,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Derwent House, Washington Town Centre",yes,,2018-11-30,,0.05,48,48,Permitted Prior Notification application ref. 17/00087/PCJ,local-authority-eng:SND,not owned by a public authority,2017-03-09,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,688,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"First Floor,the Old Vestry, 23 Fawcett Street",yes,,2018-11-30,,0.02,7,7,Full permission for 9 units 17/01442/FUL. Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2017-12-01,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,690,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Cheadle Centre, Caithness Road, Hylton",yes,,2018-11-30,,0.52,19,19,Full permission for 19 units: 17/02446/FU4,local-authority-eng:SND,owned by a public authority,2018-07-03,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,693,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Gray Road, Hendon",yes,2019-11-30,2018-11-30,,0.03,7,7,,local-authority-eng:SND,not owned by a public authority,2017-05-31,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,698,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2018-11-30
