site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Land adj 31 Coalway Road,,,2018-05-22,,0.25,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.147539 52.568825),38560,,
109 Warstones Road,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.166616 52.564898),38550,,
3 Waterloo Road,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.132291 52.585987),38540,,
Land corner of Stafford St and Bone Mill Lane WV1 1NT,,,2018-05-22,,0.61,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.127242 52.595584),38610,,
"Corpus Christi RC Church, Griffiths Drive",,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.056567 52.614149),38580,,
6-7 Victoria Passage,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.130221 52.584533),38510,,
"43 Lichfield Road, Wednesfield",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.079866 52.602386),38520,,
"Oxley Moor House and Oxley Day Centre, Probert Road",,,2018-05-22,,0.865,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.132152 52.618116),D80,,
"Stowheath Day/Childrens Centres, Stowheath Lane",,,2018-05-22,,1.134,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.095428 52.57527),D78,,
"Fmr Warstones Resource Centre, Warstones Drive",,,2018-05-22,,0.42,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.170805 52.568497),D76,,
"Fmr Merry Hill House, Langley Road",,,2018-05-22,,0.36,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.173218 52.570696),D75,,
"Fmr Nelson Mandela House, Whitburn Close",,,2018-05-22,,0.6,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.146555 52.623071),D74,,
"Fmr Woden Resource Centre, Vicarage Road",,,2018-05-22,,0.45,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.092066 52.604661),D73,,
School Road,,,2018-05-22,,0.23,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.183631 52.590835),D72,,
Pointon Close,,,2018-05-22,,0.17,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.098279 52.550384),D71,,
Townson Road,,,2018-05-22,,0.07,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.059931 52.612188),D70,,
Batmans Hill Road,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.068707 52.548158),D69,,
17 Ryan Avenue,,,2018-05-22,,0.07,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.056016 52.610868),D68,,
Cavendish Road,,,2018-05-22,,0.12,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.08979 52.58181),D67,,
Arnhem Close,,,2018-05-22,,0.11,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.09244 52.613704),D66,,
Central Avenue,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.074692 52.573227),D65,,
Waddensbrook Lane,,,2018-05-22,,0.26,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.066969 52.597908),D64,,
Bradley Road,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.117439 52.573623),D63,,
Hylstone Crescent,,,2018-05-22,,0.17,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.076151 52.605823),D62,,
Foster Road,,,2018-05-22,,0.13,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.115537 52.60749),D61,,
Wilkinson Avenue,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.069362 52.552427),D60,,
Park View Road,,,2018-05-22,,0.11,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.085046 52.578739),D59,,
Fairway Green Site B,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.079816 52.575183),D58,,
Fairway Green Site A,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.080392 52.575255),D57,,
Whiston Avenue,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.057774 52.611065),D56,,
Moat Green Avenue,,,2018-05-22,,0.16,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.073542 52.608683),D55,,
84-94 Pond Lane,,,2018-05-22,,0.09,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.116655 52.572554),D54,,
Bradley Lane,,,2018-05-22,,0.09,,,,local-authority-eng:WLV,,,,Other Commitment,,,D53,,
Abingdon Road Site B,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.091804 52.585342),D52,,
Abingdon Road Site A,,,2018-05-22,,0.09,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.090387 52.58537),D51,,
Westcroft Avenue,,,2018-05-22,,0.31,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.097781 52.617934),D50,,
Land at Marchant Road,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.083399 52.573571),D49,,
Parker Road,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.063498 52.617319),D47,,
40 Wolverhampton Road,,,2018-05-22,,0.13,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.090812 52.597721),D45,,
18-20 Peach Road,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.054489 52.605943),D44,,
52-72 Peach Road,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.05542 52.606706),D43,,
Fmr Daisy Bank Community Centre,,,2018-05-22,,0.48,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.075161 52.554096),D41,,
"Fmr Bilston Tennis Club, Villiers Avenue",,,2018-05-22,,0.27,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.079585 52.569753),D39,,
"Harrowby Court, Chetton Green",,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.134492 52.625117),D36,,
"Patshull Court, Chetton Green",,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.134316 52.625566),D37,,
"Wobaston Court, Chetton Green",,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.135172 52.625278),D38,,
Merridale Court,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.149411 52.581229),D35,,
Chetton Green (caretakers office),,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.136015 52.625537),D34,,
"Samson And Lion (buildings), Newbolt Road WV14 7NP",,,2018-05-22,,0.104,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.068266 52.568142),38751,,
"Former Danesmore Park Primary School, Russell Close (school buildings)",,,2018-05-22,,0.77,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.059615 52.618229),38601,,
Northicote Secondary School,,,2018-05-22,,4.94,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.115779 52.626431),D5,,
