site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
79 North Street Portslade,,,2019-12-16,,0.02,6,6,Application lapsed,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6DDMXE751|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6MDMXE689|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6VDMXE898,not permissioned,,SHLAA6095,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6095-79-north-street-portslade.pdf,2017-09-21
P&H House 106-112 Davigdor Road Hove,yes,,2019-12-16,,0.09,57,57,Prior approval application 2018. SHLAA call for sites 2017. Part of CPP1 Strategic Site Allocation 3,local-authority-eng:BNH,not owned by a public authority,2018-02-07,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZV8VCDM0PA00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR67DMXE414,permissioned,other,SHLAA6099,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6099-ph-house-106-112-davigdor-road-hove.pdf,2017-09-21
43-45 Bonchurch Road Brighton,,,2019-12-16,,0.02,6,6,Previous Permission Lapsed May 2018,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6ADMXE419,not permissioned,,SHLAA6100,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6100-43-45-bonchurch-road-brighton.pdf,2017-09-21
Old Ship Hotel 31-38 Kings Road Brighton,,,2019-12-16,,0.03,18,18,Application lapsed 201819. Draft City Plan Part 2 Allocation,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PK8RS0DMGC000|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR68DMXE317|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE620|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6QDMXE620|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7LDMXE004,not permissioned,,SHLAA6102,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6102-old-ship-hotel-31-38-kings-road-brighton.pdf,2017-09-21
Eastergate Road Garage Site,yes,,2019-12-16,,0.07,24,24,Draft City Plan Part 2 Allocation. New Homes for Neighbourhoods site.,local-authority-eng:BNH,owned by a public authority,,,not permissioned,,SHLAA6106,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6106-eastergate-road-garage-site.pdf,2017-09-21
Bus Garage corner of Whitehawk Road and Henley Road Brighton,,,2019-12-16,,0.44,13,13,,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA6107,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6107-bus-garage-corner-of-whitehawk-road-and-henley-road-brighton.pdf,2017-10-03
76 Church Street Brighton (Patrick Moorhead Antiques/warehousing) (Old PO Sorting Office),,,2019-12-16,,0.22,50,50,Draft City Plan Part 2 Allocation,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA6109,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6109-76-church-street-brighton.pdf,2017-10-03
St Aubyns School 76 High Street Rottingdean Brighton (School Campus Area),yes,,2019-12-16,yes,0.86,29,29,This listing comprises the PDL part of the site 29 Resi Units of 93 units including remaining 2.54 ha site greenfield playing field . 2015 SHLAA Call for Sites. .Draft City Plan Part 2 Allocation. Application approved 2019,local-authority-eng:BNH,not owned by a public authority,2019-02-08,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUD4FWDMJFY00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUDCQNDMJGK00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR63DMXE175|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR63DMXE176,permissioned,full planning permission,SHLAA6113,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6113-st-aubyns-school-76-high-street-rottingdean-brighton.pdf,2017-09-21
Flexer Sacks Wellington Road Portslade,,,2019-12-16,,0.6,45,45,Allocated Shoreham JAAP and Draft City Plan Part 2,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEVRLLDMIVO00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6KDMXE273|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6MDMXE687|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6UDMXE396,not permissioned,,SHLAA6114,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6114-flexer-sacks-wellington-road-portslade.pdf,2017-10-03
St Joseph's Rest Home 3-7 Bristol Road Brighton,,,2019-12-16,,0.16,10,10,,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG2KC7DMKB000|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR5ZDMXE195,not permissioned,,SHLAA6116,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6116-st-josephs-rest-home-3-7-bristol-road-brighton.pdf,2017-10-03
